卖傲	maiao,ma
卖剑买牛	maijianniu,mjn
卖剑买琴	maijianqin,mjq
卖浆	maijiang,mj
卖降	maijiang,mj
卖交	maijiao,mj
卖交情	maijiaoqing,mjq
卖解	maixie,mx
卖金	maijin,mj
卖劲	maijin,mj
卖镜重圆	maijingchongyuan,mjcy
卖酒提瓶	maijiutiping,mjtp
卖绝	maijue,mj
卖爵	maijue,mj
卖爵鬻官	maijueyuguan,mjyg
卖科	maike,mk
卖客	maike,mk
卖课	maike,mk
卖空	maikong,mk
卖空买空	maikong,mk
卖空虚	maikongxu,mkx
卖口	maikou,mk
卖口吃	maikouchi,mkc
卖苦力	maikuli,mkl
卖困	maikun,mk
卖懒	mailan,ml
卖老	mailao,ml
卖李钻核	mailizuanhe,mlzh
卖力	maili,ml
卖力地	mailide,mld
卖力气	mailiqi,mlq
卖脸	mailian,ml
卖邻	mailin,ml
卖零工夫	mailinggongfu,mlgf
卖垆	mailu,ml
卖炉	mailu,ml
卖履分香	mailufenxiang,mlfx
卖乱	mailuan,ml
卖马解	maimajie,mmj
卖买	mai,m
卖萌	maimeng,mm
卖蒙懂	maimengdong,mmd
卖懵	maimeng,mm
卖懵董	maimengdong,mmd
卖免	maimian,mm
卖面光	maimianguang,mmg
卖面子	maimianzi,mmz
卖命	maiming,mm
卖命地干	maimingdegan,mmdg
卖男鬻女	mainanyunu,mnyn
卖脑的	mainaode,mnd
卖弄	mainong,mn
卖弄风情	mainongfengqing,mnfq
卖皮鹌鹑	maipianchun,mpac
卖平	maiping,mp
卖评	maiping,mp
卖婆	maipo,mp
卖破绽	maipozhan,mpz
卖扑	maipu,mp
卖妻鬻子	maiqiyuzi,mqyz
卖契	maiqi,mq
卖钱	maiqian,mq
卖巧	maiqiao,mq
卖俏	maiqiao,mq
卖俏行奸	maiqiaoxingjian,mqxj
卖俏迎奸	maiqiaoyingjian,mqyj
卖青	maiqing,mq
卖清	maiqing,mq
卖情	maiqing,mq
卖请	maiqing,mq
卖权	maiquan,mq
卖拳头	maiquantou,mqt
卖券	maiquan,mq
卖缺	maique,mq
卖阙	maique,mq
卖嚷儿	mairanger,mre
卖人情	mairenqing,mrq
卖肉	mairou,mr
卖肉者	mairouzhe,mrz
卖傻	maisha,ms
卖舌	maishe,ms
卖身	maishen,ms
卖身契	maishenqi,msq
卖身投靠	maishentoukao,mstk
卖市	maishi,ms
卖手	maishou,ms
卖术	maishu,ms
卖私	maisi,ms
卖死	maisi,ms
卖炭翁	maitanweng,mtw
卖糖	maitang,mt
卖题	maiti,mt
卖厅角	maitingjiao,mtj
卖头卖脚	maitoujiao,mtj
卖屠	maitu,mt
卖完	maiwan,mw
卖威	maiwei,mw
卖文	maiwen,mw
卖文为生	maiwenweisheng,mwws
卖武	maiwu,mw
卖侮	maiwu,mw
卖务场	maiwuchang,mwc
卖相	maixiang,mx
卖笑	maixiao,mx
卖笑追欢	maixiaozhuihuan,mxzh
卖饧天	maixingtian,mxt
卖杏虎	maixinghu,mxh
卖休	maixiu,mx
卖虚脾	maixupi,mxp
卖眼	maiyan,my
卖耀	maiyao,my
卖野人头	maiyerentou,myrt
卖艺	maiyi,my
卖易	maiyi,my
卖淫	maiyin,my
卖佣	maiyong,my
卖庸	maiyong,my
卖油嘴	maiyouzui,myz
卖友	maiyou,my
卖友求荣	maiyouqiurong,myqr
卖狱	maiyu,my
卖狱鬻官	maiyuguan,myg
卖誉	maiyu,my
卖儥	maiyu,my
卖鬻	maiyu,my
卖约	maiyue,my
卖韵	maiyun,my
卖贼	maizei,mz
卖楂梨	maizhali,mzl
卖帐	maizhang,mz
卖账	maizhang,mz
卖折	maishe,ms
卖阵	maizhen,mz
卖直	maizhi,mz
卖质	maizhi,mz
卖重	maizhong,mz
卖珠	maizhu,mz
卖猪仔	maizhuzai,mzz
卖主	maizhu,mz
卖主求荣	maizhuqiurong,mzqr
卖壮丁	maizhuangding,mzd
卖字号	maizihao,mzh
卖租	maizu,mz
卖祖	maizu,mz
卖嘴	maizui,mz
卖嘴巴皮	maizuibapi,mzbp
卖嘴料舌	maizuiliaoshe,mzls
卖嘴皮子	maizuipizi,mzpz
卖座	maizuo,mz
