三阿姨	sanayi,say
三角恋爱	sanjiaolianai,sjla
三角龙	sanjiaolong,sjl
三角兽	sanjiaoshou,sjs
三角铁	sanjiaotie,sjt
三角童	sanjiaotong,sjt
三角形	sanjiaoxing,sjx
三角学	sanjiaoxue,sjx
三角眼	sanjiaoyan,sjy
三角债	sanjiaozhai,sjz
三角洲	sanjiaozhou,sjz
三角柱体	sanjiaozhuti,sjzt
三角锥	sanjiaozhui,sjz
三角座	sanjiaozuo,sjz
三脚架	sanjiaojia,sjj
三脚两步	sanjiaoliangbu,sjlb
三脚猫	sanjiaomao,sjm
三脚虾蟆	sanjiaohama,sjhm
三教	sanjiao,sj
三教布衣	sanjiaobuyi,sjby
三教九流	sanjiaojiuliu,sjjl
三教图	sanjiaotu,sjt
三阶	sanjie,sj
三接	sanjie,sj
三街两市	sanjieliangshi,sjls
三街六市	sanjieliushi,sjls
三街六巷	sanjieliuxiang,sjlx
三节	sanjie,sj
三节鞭	sanjiebian,sjb
三节两寿	sanjieliangshou,sjls
三节人	sanjieren,sjr
三杰	sanjie,sj
三结合	sanjiehe,sjh
三戒	sanjie,sj
三界	sanjie,sj
三金	sanjin,sj
三晋	sanjin,sj
三京	sanjing,sj
三经	sanjing,sj
三荆	sanjing,sj
三惊	sanjing,sj
三旌	sanjing,sj
三井	sanjing,sj
三景	sanjing,sj
三径	sanjing,sj
三迳	sanjing,sj
三浄	sanjing,sj
三凈	sanjing,sj
三镜	sanjing,sj
三九	sanjiu,sj
三九天	sanjiutian,sjt
三九相公	sanjiuxianggong,sjxg
三酒	sanjiu,sj
三就	sanjiu,sj
三居	sanju,sj
三鞠躬	sanjugong,sjg
三举	sanju,sj
三句不离本行	sanjubulibenhang,sjblbh
三句话不离本行	sanjuhuabulibenhang,sjhblbh
三惧	sanju,sj
三聚	sanju,sj
三聚氰胺	sanjuqingan,sjqa
三聚体	sanjuti,sjt
三绝	sanjue,sj
三觉侍郎	sanjueshilang,sjsl
三爵	sanjue,sj
三爵之罚	sanjuezhifa,sjzf
三军	sanjun,sj
三军用命	sanjunyongming,sjym
三君	sanjun,sj
三俊	sanjun,sj
三康	sankang,sk
三考	sankao,sk
三考吏	sankaoli,skl
三科	sanke,sk
三科九旨	sankejiuzhi,skjz
三克	sanke,sk
三刻	sanke,sk
三恪	sanke,sk
三空	sankong,sk
三孔	sankong,sk
三窟	sanku,sk
三库	sanku,sk
三匡栏	sankuanglan,skl
三框栏	sankuanglan,skl
三赖草	sanlaicao,slc
三襕贴里	sanlantieli,sltl
三牢	sanlao,sl
三老	sanlao,sl
三老四少	sanlaosishao,slss
三老四严	sanlaosiyan,slsy
三老五更	sanlaowugeng,slwg
三乐	sanle,sl
三勒浆	sanlejiang,slj
三羸	sanlei,sl
三类	sanlei,sl
三累	sanlei,sl
三棱草	sanlengcao,slc
三棱镜	sanlengjing,slj
三犁	sanli,sl
三犂	sanli,sl
三礼	sanli,sl
三李	sanli,sl
三里河	sanlihe,slh
三里屯	sanlitun,slt
三里雾	sanliwu,slw
三立	sanli,sl
三吏	sanli,sl
三戾	sanli,sl
三笠辞	sanlici,slc
三连串票	sanlianchuanpiao,slcp
三连冠	sanlianguan,slg
三连胜	sanliansheng,sls
三联串票	sanlianchuanpiao,slcp
三联单	sanliandan,sld
三联管	sanlianguan,slg
三联书店	sanlianshudian,slsd
三薕	sanlian,sl
三良	sanliang,sl
三良臣	sanliangchen,slc
三梁	sanliang,sl
三两	sanliang,sl
三料匠	sanliaojiang,slj
三列宿	sanliesu,sls
三鬣松	sanliesong,sls
三邻	sanlin,sl
三邻四舍	sanlinsishe,slss
三磷酸腺苷	sanlinsuanxiangan,slsxg
三灵	sanling,sl
三菱	sanling,sl
三令节	sanlingjie,slj
三令五申	sanlingwushen,slws
三刘	sanliu,sl
三流	sanliu,sl
三柳	sanliu,sl
三绺梳头	sanliushutou,slst
三六	sanliu,sl
三六九	sanliujiu,slj
三六九比势	sanliujiubishi,sljbs
三六九等	sanliujiudeng,sljd
三龙	sanlong,sl
三龙祠	sanlongci,slc
三陆	sanlu,sl
三鹿	sanlu,sl
三鹿集团	sanlujituan,sljt
三鹿郡公	sanlujungong,sljg
三鹿为奔	sanluweiben,slwb
三鹿为犇	sanluweiben,slwb
三箓	sanlu,sl
三露	sanlu,sl
三闾	sanlu,sl
三闾大夫	sanludaifu,sldf
三闾小玉	sanluxiaoyu,slxy
三率	sanshuai,ss
三氯化磷	sanluhualin,slhl
三氯化铁	sanluhuatie,slht
三氯甲烷	sanlujiawan,sljw
三氯氰胺	sanluqingan,slqa
三氯氧磷	sanluyanglin,slyl
三氯已烷	sanluyiwan,slyw
三氯已烯	sanluyixi,slyx
三峦	sanluan,sl
三栾	sanluan,sl
三脔	sanluan,sl
三略	sanlue,sl
三伦	sanlun,sl
三轮	sanlun,sl
三轮车	sanlunche,slc
三轮车夫	sanlunchefu,slcf
三轮儿	sanluner,sle
三论	sanlun,sl
三论宗	sanlunzong,slz
三罗	sanluo,sl
三洛	sanluo,sl
三马	sanma,sm
三马同槽	sanmatongcao,smtc
三麦	sanmai,sm
三毛	sanmao,sm
三毛猫	sanmao,sm
三毛七孔	sanmaoqikong,smqk
三茅	sanmao,sm
三茅君	sanmaojun,smj
三茅钟	sanmaozhong,smz
三泖	sanmao,sm
三媒六证	sanmeiliuzheng,smlz
三昧	sanmei,sm
三昧真火	sanmeizhenhuo,smzh
三门	sanmen,sm
三门干部	sanmenganbu,smgb
三门四户	sanmensihu,smsh
三门峡	sanmenxia,smx
三门峡市	sanmenxiashi,smxs
三门县	sanmenxian,smx
三猛	sanmeng,sm
三梦	sanmeng,sm
三密	sanmi,sm
三眠	sanmian,sm
三面	sanmian,sm
三面红旗	sanmianhongqi,smhq
三面角	sanmianjiao,smj
三面罗	sanmianluo,sml
三面人	sanmianren,smr
三面手	sanmianshou,sms
三面网	sanmianwang,smw
三苗	sanmiao,sm
三秒胶	sanmiaojiao,smj
三藐	sanmiao,sm
三藐三菩提	sanmiaoputi,smpt
三妙音	sanmiaoyin,smy
三庙	sanmiao,sm
三民	sanmin,sm
三民区	sanminqu,smq
三民主义	sanminzhuyi,smzy
三名三高	sanminggao,smg
三明	sanming,sm
三明市	sanmingshi,sms
三明治	sanmingzhi,smz
三命	sanming,sm
三命而俯	sanmingerfu,smef
三谟	sanmo,sm
三摩	sanmo,sm
三摩钵提	sanmoboti,smbt
三摩地	sanmodi,smd
三墨	sanmo,sm
三缪	sanmiu,sm
三母	sanmu,sm
三亩宅	sanmuzhai,smz
三木	sanmu,sm
三木楼訾	sanmulouzi,smlz
三沐	sanmu,sm
三沐三熏	sanmuxun,smx
三牧	sanmu,sm
三男两女	sannanliangnu,snln
三男子	sannanzi,snz
三闹	sannao,sn
三淖	sannao,sn
三内	sannei,sn
三能	sanneng,sn
三臡	sanni,sn
三臡八菹	sannibazu,snbz
三臡八葅	sannibazu,snbz
三逆	sanni,sn
三年艾	sannianai,sna
三年碧	sannianbi,snb
三年不成	sannianbucheng,snbc
三年不窥园	sannianbukuiyuan,snbky
三年化碧	sannianhuabi,snhb
三年怕草索	sannianpacaosuo,snpcs
三年怕井绳	sannianpajingsheng,snpjs
三年丧	sanniansang,sns
三年五载	sannianwuzai,snwz
三年早知道	sannianzaozhidao,snzzd
三年之艾	sannianzhiai,snza
三年之畜	sannianzhichu,snzc
三娘子	sanniangzi,snz
三酿五齐	sanniangwuqi,snwq
三鸟	sanniao,sn
三枿	sannie,sn
三孽	sannie,sn
三蘖	sannie,sn
三佞	sanning,sn
三牛为麄	sanniuweicu,snwc
三农	sannong,sn
三农问题	sannongwenti,snwt
三弄	sannong,sn
三耦	sanou,so
三叛	sanpan,sp
三炮	sanpao,sp
三胚层动物	sanpeicengdongwu,spcdw
三陪	sanpei,sp
三陪小姐	sanpeixiaojie,spxj
三盆	sanpen,sp
三盆手	sanpenshou,sps
三朋四友	sanpengsiyou,spsy
三彭	sanpeng,sp
三蓬	sanpeng,sp
三辟	sanpi,sp
三品	sanpin,sp
三品刍	sanpinchu,spc
三品蒭豆	sanpinchudou,spcd
三品料	sanpinliao,spl
三品鸟	sanpinniao,spn
三品松	sanpinsong,sps
三品秀才	sanpinxiucai,spxc
三品院	sanpinyuan,spy
三平	sanping,sp
三平二满	sanpingerman,spem
三婆两嫂	sanpoliangsao,spls
三菩提	sanputi,spt
三浦	sanpu,sp
三浦梅园	sanpumeiyuan,spmy
三普	sanpu,sp
三七	sanqi,sq
三七二十一	sanqiershiyi,sqesy
三七分	sanqifen,sqf
三七分开	sanqifenkai,sqfk
三七开	sanqikai,sqk
三七开定论	sanqikaidinglun,sqkdl
三七斋	sanqizhai,sqz
三七仔	sanqizi,sqz
三妻四妾	sanqisiqie,sqsq
三期贤佞	sanqixianning,sqxn
三齐	sanqi,sq
三奇	sanqi,sq
三祇	sanqi,sq
三起	sanqi,sq
三气	sanqi,sq
三千	sanqian,sq
三千八万	sanqianbawan,sqbw
三千大千	sanqianda,sqd
三千大千世界	sanqiandashijie,sqdsj
三千弟子	sanqiandizi,sqdz
三千牍	sanqiandu,sqd
三千界	sanqianjie,sqj
三千九万	sanqianjiuwan,sqjw
三千客	sanqianke,sqk
三千世界	sanqianshijie,sqsj
三千水	sanqianshui,sqs
三千徒	sanqiantu,sqt
三千威仪	sanqianweiyi,sqwy
三千营	sanqianying,sqy
