以埃	yiai,ya
以利于	yiliyu,yly
以邻为壑	yilinweihe,ylwh
以鹿为马	yiluweima,ylwm
以律	yilu,yl
以卵敌石	yiluandishi,ylds
以卵击石	yiluanjishi,yljs
以卵投石	yiluantoushi,ylts
以马内利	yimaneili,ymnl
以毛相马	yimaoxiangma,ymxm
以貌取人	yimaoquren,ymqr
以免	yimian,ym
以免借口	yimianjiekou,ymjk
以沫相濡	yimoxiangru,ymxr
以南	yinan,yn
以内	yinei,yn
以偏概全	yipiangaiquan,ypgq
以期	yiqi,yq
以其昏昏	yiqihun,yqh
以其人之道	yiqirenzhidao,yqrzd
以前	yiqian,yq
以前地	yiqiande,yqd
以强凌弱	yiqianglingruo,yqlr
以强胜弱	yiqiangshengruo,yqsr
以郄视文	yixishiwen,yxsw
以亲为解	yiqinweijie,yqwj
以勤补拙	yiqinbuzhuo,yqbz
以求	yiqiu,yq
以求一逞	yiqiucheng,yqc
以屈求伸	yiquqiushen,yqqs
以去	yiqu,yq
以权达变	yiquandabian,yqdb
以权谋私	yiquanmousi,yqms
以权压法	yiquanyafa,yqyf
以筌为鱼	yiquanweiyu,yqwy
以人废言	yirenfeiyan,yrfy
以人名命名	yirenming,yrm
以人为本	yirenweiben,yrwb
以人为鉴	yirenweijian,yrwj
以人为镜	yirenweijing,yrwj
以人择官	yirenzeguan,yrzg
以忍为阍	yirenweihun,yrwh
以日继夜	yirijiye,yrjy
以日为年	yiriweinian,yrwn
以日易月	yiriyue,yry
以容取人	yirongquren,yrqr
以柔克刚	yiroukegang,yrkg
以柔制刚	yirouzhigang,yrzg
以肉啖虎	yiroudanhu,yrdh
以肉驱蝇	yirouquying,yrqy
以肉去蚁	yirouqu,yrq
以肉喂虎	yirouweihu,yrwh
以肉餧虎	yirousihu,yrsh
以弱胜强	yiruoshengqiang,yrsq
以弱制强	yiruozhiqiang,yrzq
以撒	yisa,ys
以赛亚书	yisaiyashu,ysys
以色列	yiselie,ysl
以色列人	yiselieren,yslr
以杀去杀	yishaqu,ysq
以杀止杀	yishazhi,ysz
以上	yishang,ys
以少胜多	yishaoshengduo,yssd
以身报国	yishenbaoguo,ysbg
以身抵债	yishendizhai,ysdz
以身试法	yishenshifa,yssf
以身试险	yishenshixian,yssx
以身相许	yishenxiangxu,ysxx
以身许国	yishenxuguo,ysxg
以身殉国	yishengxunguo,ysxg
以身殉职	yishenxunzhi,ysxz
以身作则	yishenzuoze,yszz
以慎为键	yishenweijian,yswj
以升量石	yishengliangdan,ysld
以失败而告终	yishibaiergaozhong,ysbegz
以石投卵	yishitouluan,ystl
以石投水	yishitoushui,ysts
以时	yishi,ys
以史为鉴	yishiweijian,yswj
以示警戒	yishijingjie,ysjj
以是	yishi,ys
以是为恨	yishiweihen,yswh
以手加额	yishoujiae,ysje
以守为攻	yishouweigong,yswg
以售其奸	yishouqijian,ysqj
以书为御	yishuweiyu,yswy
以叔援嫂	yishuyuansao,ysys
以疏间亲	yishujianqin,ysjq
以水济水	yishuiji,ysj
以水救水	yishuijiu,ysj
以水投石	yishuitoushi,ysts
以水投水	yishuitou,yst
以水洗血	yishuixixue,ysxx
以私废公	yisifeigong,ysfg
以私害公	yisihaigong,yshg
以斯拉记	yisilaji,yslj
以斯帖	yisitie,yst
以斯帖记	yisitieji,ystj
以死明志	yisimingzhi,ysmz
以索续组	yisuoxuzu,ysxz
以太	yitai,yt
以太坊	yitaifang,ytf
以太网	yitaiwang,ytw
以太网路	yitaiwanglu,ytwl
以太网络	yitaiwangluo,ytwl
以太网络端口	yitaiwangluoduankou,ytwldk
以汤沃沸	yitangwofei,ytwf
以汤沃雪	yitangwoxue,ytwx
以汤止沸	yitangzhifei,ytzf
以螳当车	yitangdangche,ytdc
以桃代李	yitaodaili,ytdl
以天下为己任	yitianxiaweijiren,ytxwjr
以莛叩钟	yitingkouzhong,ytkz
以莛扣钟	yitingkouzhong,ytkz
以莛撞钟	yitingzhuangzhong,ytzz
以筳撞钟	yitingzhuangzhong,ytzz
以筳撞锺	yitingzhuangzhong,ytzz
以退为进	yituiweijin,ytwj
以外	yiwai,yw
以往	yiwang,yw
以往地	yiwangde,ywd
以往鉴来	yiwangjianlai,ywjl
以微知着	yiweizhizhuo,ywzz
以微知著	yiweizhizhu,ywzz
以伪乱真	yiweiluanzhen,ywlz
以为	yiwei,yw
以为后图	yiweihoutu,ywht
以谓	yiwei,yw
以文害辞	yiwenhaici,ywhc
以文会友	yiwenhuiyou,ywhy
以文乱法	yiwenluanfa,ywlf
以文为诗	yiwenweishi,ywws
以物易物	yiwu,yw
以西	yixi,yx
以西结书	yixijieshu,yxjs
以下	yixia,yx
以下犯上	yixiafanshang,yxfs
以先	yixian,yx
以飨读者	yixiangduzhe,yxdz
以小挤大	yixiaojida,yxjd
以小见大	yixiaojianda,yxjd
以小人之心	yixiaorenzhixin,yxrzx
以心传心	yixinchuan,yxc
以心问心	yixinwen,yxw
以刑去刑	yixingqu,yxq
以刑止刑	yixingzhi,yxz
以刑致刑	yixingzhi,yxz
以虚带实	yixudaishi,yxds
以叙	yixu,yx
以学愈愚	yixueyu,yxy
以血洗血	yixuexi,yxx
以压倒之势地	yiyadaozhishide,yydzsd
以牙还牙	yiyahuan,yyh
以言代法	yiyandaifa,yydf
以言举人	yiyanjuren,yyjr
以言取人	yiyanquren,yyqr
以言为讳	yiyanweihui,yywh
以言徇物	yiyanxunwu,yyxw
以眼还眼	yiyanhuan,yyh
以羊易牛	yiyangniu,yyn
以养伤身	yiyangshangshen,yyss
以药养医	yiyaoyang,yyy
以噎废飡	yiyefeican,yyfc
以噎废餐	yiyefeican,yyfc
以夜继朝	yiyejizhao,yyjz
以夜继日	yiyejiri,yyjr
以夜继昼	yiyejizhou,yyjz
以夜续昼	yiyexuzhou,yyxz
以一持万	yichiwan,ycw
以一当十	yidangshi,yds
以一奉百	yifengbai,yfb
以一儆百	yijingbai,yjb
以一警百	yijingbai,yjb
以一驭万	yiyuwan,yyw
以一知万	yizhiwan,yzw
以夷伐夷	yifa,yf
以夷攻夷	yigong,yg
以夷制夷	yizhi,yz
以夷治夷	yizhi,yz
以疑决疑	yijue,yj
以义断恩	yiduanen,yde
以义割恩	yigeen,yge
以亿计	yiji,yj
以佚待劳	yidailao,ydl
以逸待劳	yidailao,ydl
以逸击劳	yijilao,yjl
以意逆志	yinizhi,ynz
以意为之	yiweizhi,ywz
以意为主	yiweizhu,ywz
以镒称铢	yichengzhu,ycz
以蚓投鱼	yiyintouyu,yyty
以有效地	yiyouxiaode,yyxd
以鱼驱蝇	yiyuquying,yyqy
以玉抵鹊	yiyudique,yydq
以玉抵乌	yiyudiwu,yydw
以誉进能	yiyujinneng,yyjn
以誉为赏	yiyuweishang,yyws
以远	yiyuan,yy
以怨报德	yiyuanbaode,yybd
以泽量尸	yizeliangshi,yzls
以债养债	yizhaiyang,yzy
以战去战	yizhanqu,yzq
以战养战	yizhanyang,yzy
以正视听	yizhengshiting,yzst
以直报怨	yizhibaoyuan,yzby
以直抱怨	yizhibaoyuan,yzby
以指测河	yizhicehe,yzch
以指挠沸	yizhinaofei,yznf
以至	yizhi,yz
以至于	yizhiyu,yzy
以致	yizhi,yz
以致于	yizhiyu,yzy
以终天年	yizhongtiannian,yztn
以众暴寡	yizhongbaogua,yzbg
以珠弹雀	yizhutanque,yztq
以铢称镒	yizhucheng,yzc
以铢程镒	yizhucheng,yzc
以锥飡壶	yizhuicanhu,yzch
以锥餐壶	yizhuicanhu,yzch
以锥刺地	yizhuicidi,yzcd
以资	yizi,yz
以资鼓励	yiziguli,yzgl
以资切磋	yiziqiecuo,yzqc
以资证明	yizizhengming,yzzm
以子之矛	yizizhimao,yzzm
以紫乱朱	yiziluanzhu,yzlz
以紫为朱	yiziweizhu,yzwz
以眦睚杀人	yiziyasharen,yzysr
