大阿	daa,da
大旱望霓	dahanwangni,dhwn
大旱望云	dahanwangyun,dhwy
大旱望云霓	dahanwangyunni,dhwyn
大旱云霓	dahanyunni,dhyn
大旱之望云霓	dahanzhiwangyunni,dhzwyn
大航	dahang,dh
大貉小貉	damoxiao,dmx
大豪	dahao,dh
大好	dahao,dh
大好河山	dahaoheshan,dhhs
大好老	dahaolao,dhl
大号	dahao,dh
大昊	dahao,dh
大耗	dahao,dh
大皞	dahao,dh
大皥	dahao,dh
大颢	dahao,dh
大合唱	dahechang,dhc
大和	dahe,dh
大和国家	daheguojia,dhgj
大和绘	dahehui,dhh
大和上	daheshang,dhs
大和尚	daheshang,dhs
大和汤	dahetang,dht
大河	dahe,dh
大壑	dahe,dh
大亨	daheng,dh
大桁	daheng,dh
大横	daheng,dh
大轰大嗡	dahongweng,dhw
大哄大嗡	dahongweng,dhw
大红	dahong,dh
大红鼻子	dahongbizi,dhbz
大红大绿	dahonglu,dhl
大红大緑	dahonglu,dhl
大红大紫	dahongzi,dhz
大红灯笼高高挂	dahongdenglonggaogua,dhdlgg
大红鹳	dahongguan,dhg
大红袍	dahongpao,dhp
大红全帖	dahongquantie,dhqt
大红日子	dahongrizi,dhrz
大洪山	dahongshan,dhs
大鸿	dahong,dh
大鸿胪	dahonglu,dhl
大侯	dahou,dh
大吼	dahou,dh
大后儿	dahouer,dhe
大后方	dahoufang,dhf
大后年	dahounian,dhn
大后日	dahouri,dhr
大后天	dahoutian,dht
大呼拉尔	dahulaer,dhle
大呼隆	dahulong,dhl
大呼小喝	dahuxiaohe,dhxh
大呼小叫	dahuxiaojiao,dhxj
大忽雷	dahulei,dhl
大唿隆	dahulong,dhl
大狐	dahu,dh
大湖	dahu,dh
大湖乡	dahuxiang,dhx
大觳	dahu,dh
大虎头蜂	dahutoufeng,dhtf
大户	dahu,dh
大护	dahu,dh
大頀	dahu,dh
大花边	dahuabian,dhb
大花脸	dahualian,dhl
大哗	dahua,dh
大滑	dahua,dh
大猾	dahua,dh
大化	dahua,dh
大化改新	dahuagaixin,dhgx
大化县	dahuaxian,dhx
大化瑶族自治县	dahuayaozuzizhixian,dhyzzzx
大话	dahua,dh
大话骰	dahuatou,dht
大槐宫	dahuaigong,dhg
大坏蛋	dahuaidan,dhd
大环	dahuan,dh
大环境	dahuanjing,dhj
大圜	dahuan,dh
大寰	dahuan,dh
大幻	dahuan,dh
大换班	dahuanban,dhb
大换血	dahuanxie,dhx
大患	dahuan,dh
大荒	dahuang,dh
大荒骆	dahuangluo,dhl
大荒落	dahuangluo,dhl
大皇	taihuang,th
大黄	dahuang,dh
大黄蜂	dahuangfeng,dhf
大黄冠啄木鸟	dahuangguanzhuomuniao,dhgzmn
大黄鱼	daihuangyu,dhy
大灰狼	dahuilang,dhl
大灰啄木鸟	dahuizhuomuniao,dhzmn
大茴香	dahuixiang,dhx
大茴香子	dahuixiangzi,dhxz
大会	dahui,dh
大会报告起草人	dahuibaogaoqicaoren,dhbgqcr
大会垓	dahuigai,dhg
大讳	dahui,dh
大秽	dahui,dh
大昏	dahun,dh
大荤	dahun,dh
大婚	dahun,dh
大阍	dahun,dh
大浑	dahun,dh
大浑家	dahunjia,dhj
大火	dahuo,dh
大伙	dahuo,dh
大伙儿	dahuoer,dhe
大伙房水库	dahuofangshuiku,dhfsk
大夥	dahuo,dh
大获全胜	dahuoquansheng,dhqs
大祸	dahuo,dh
大祸临头	dahuolintou,dhlt
大惑	dahuo,dh
大惑不解	dahuobujie,dhbj
大濩	dahu,dh
大饥	daji,dj
大机	daji,dj
大姬	daji,dj
大朞	daji,dj
大吉	daji,dj
大吉大利	dajili,djl
大吉岭	dajiling,djl
大极	daji,dj
大棘	daji,dj
大集	daji,dj
大集体	dajiti,djt
大瘠	daji,dj
大戟科	dajike,djk
大计	daji,dj
大计小用	dajixiaoyong,djxy
大纪	daji,dj
大纪元	dajiyuan,djy
大纪元时报	dajiyuanshibao,djysb
大忌	daji,dj
大寂	daji,dj
大祭	daji,dj
大祭司	dajisi,djs
大蓟	daji,dj
大加	dajia,dj
大加那利岛	dajianalidao,djnld
大枷	dajia,dj
大家	dajia,dj
大家畜	dajiachu,djc
大家风范	dajiafengfan,djff
大家闺秀	dajiaguixiu,djgx
大家伙	dajiahuo,djh
大家伙儿	dajiahuoer,djhe
大家数	dajiashu,djs
大家庭	dajiating,djt
大家子	dajiazi,djz
大家族	dajiazu,djz
大戛	dajia,dj
大颊鼠	dajiashu,djs
大甲	dajia,dj
大甲镇	dajiazhen,djz
大贾	dagu,dg
大驾	dajia,dj
大驾光临	dajiaguanglin,djgl
大奸	dajian,dj
大奸似忠	dajiansizhong,djsz
大坚	dajian,dj
大间歇泉	dajianxiequan,djxq
大俭	dajian,dj
大减价	dajianjia,djj
大剪刀	dajiandao,djd
大件	dajian,dj
大建	dajian,dj
大贱卖	dajianmai,djm
大渐	dajian,dj
大渐弥留	dajianmiliu,djml
大谏	dajian,dj
大鉴	dajian,dj
大键琴	dajianqin,djq
大江	dajiang,dj
大江东去	dajiangdongqu,djdq
大江健三郎	dajiangjiansanlang,djjsl
大江南北	dajiangnanbei,djnb
大姜	dajiang,dj
大将	dajiang,dj
大将军	dajiangjun,djj
大疆	dajiang,dj
大奖	dajiang,dj
大奖赛	dajiangsai,djs
大奬赛	dajiangsai,djs
大匠	dajiang,dj
大匠运斤	dajiangyunjin,djyj
大椒	dajiao,dj
大角	dajiao,dj
大角星	dajiaoxing,djx
大脚	dajiao,dj
大脚怪	dajiaoguai,djg
大脚力	dajiaoli,djl
大脚片儿	dajiaopianer,djpe
大脚三	dajiaosan,djs
大脚色	dajuese,djs
大叫	dajiao,dj
大叫唤	dajiaohuan,djh
大轿	dajiao,dj
大轿车	dajiaoche,djc
大较	dajiao,dj
大教	dajiao,dj
大教堂	dajiaotang,djt
大教学论	dajiaoxuelun,djxl
大醮	dajiao,dj
大街	dajie,dj
大街小巷	dajiexiaoxiang,djxx
大节	dajie,dj
大节不夺	dajiebuduo,djbd
大节目	dajiemu,djm
大节夜	dajieye,djy
大劫	dajie,dj
大结	dajie,dj
大捷	dajie,dj
大姐	dajie,dj
大姐姐	dajie,dj
大姐头	dajietou,djt
大解	dajie,dj
大戒	dajie,dj
大金	dajin,dj
大金背啄木鸟	dajinbeizhuomuniao,djbzmn
大津巴布韦	dajinbabuwei,djbbw
大襟	dajin,dj
大尽	dajin,dj
大进大出	dajinchu,djc
大浸	dajin,dj
大祲	dajin,dj
大禁	dajin,dj
大经	dajing,dj
大经大法	dajingfa,djf
大荆	dajing,dj
大惊	dajing,dj
大惊失色	dajingshise,djss
大惊小怪	dajingxiaoguai,djxg
大净	dajing,dj
大坰之惭	dajiongzhican,djzc
大九州	dajiuzhou,djz
大久保	dajiubao,djb
大久保利通	dajiubaolitong,djblt
大酒	dajiu,dj
大酒大肉	dajiurou,djr
大酒缸	dajiugang,djg
大咎	dajiu,dj
大舅	dajiu,dj
大舅爷	dajiuye,djy
大舅子	dajiuzi,djz
大居正	dajuzheng,djz
大局	daju,dj
大举	daju,dj
大矩	daju,dj
大具	daju,dj
大鹃䴗	dajuanju,djj
大卷	dajuan,dj
大决	dajue,dj
大绝灭	dajuemie,djm
大觉	dajue,dj
大觉金仙	dajuejinxian,djjx
大爵	dajue,dj
大嚼	dajue,dj
大军	dajun,dj
大军区	dajunqu,djq
大君	dajun,dj
大君子	dajunzi,djz
大均	dajun,dj
大钧	dajun,dj
大郡	dajun,dj
大咖	daka,dk
大卡	daka,dk
大开	dakai,dk
大开大合	dakaihe,dkh
大开方便之门	dakaifangbianzhimen,dkfbzm
大开眼界	dakaiyanjie,dkyj
大开斋	dakaizhai,dkz
大凯	dakai,dk
大恺	dakai,dk
大楷	dakai,dk
大康	dakang,dk
大考	dakao,dk
大科	dake,dk
大科学	dakexue,dkx
大窠	dake,dk
大可不必	dakebubi,dkbb
大客	dake,dk
大客车	dakeche,dkc
大课	dake,dk
大坑	dakeng,dk
大空	dakong,dk
大口	dakou,dk
大口地	dakoude,dkd
大口地吃	dakoudechi,dkdc
大口地喝	dakoudehe,dkdh
大口地吞	dakoudetun,dkdt
大口径	dakoujing,dkj
大哭	daku,dk
大苦	daku,dk
大块	dakuai,dk
大块朵颐	dakuaiduoyi,dkdy
大块头	dakuaitou,dkt
大块文章	dakuaiwenzhang,dkwz
大快朵颐	dakuaiduoyi,dkdy
大快人心	dakuairenxin,dkrx
大宽转	dakuanzhuan,dkz
大寛转	dakuanzhuan,dkz
大款	dakuan,dk
大𫛭	dakuang,dk
大夼	dakuang,dk
大夼镇	dakuangzhen,dkz
大魁	dakui,dk
大魁天下	dakuitianxia,dktx
大括号	dakuohao,dkh
大括弧	dakuohu,dkh
大廓	dakuo,dk
大拉拉	dala,dl
大喇喇	dala,dl
大剌剌	dala,dl
大剌剌地	dalade,dld
大蜡	dala,dl
大辣酥	dalasu,dls
大来	dalai,dl
大赉	dalai,dl
大浪	dalang,dl
大浪淘沙	dalangtaosha,dlts
大捞一把	dalaoyiba,dlyb
大牢	dalao,dl
大老	dalao,dl
大老板	dalaoban,dlb
大老粗	dalaocu,dlc
大老官	dalaoguan,dlg
大老母	dalaomu,dlm
大老婆	dalaopo,dlp
大老爷	dalaoye,dly
大老爷们儿	dalaoyemener,dlyme
大老远	dalaoyuan,dly
大老子	dalaozi,dlz
大佬	dalao,dl
大乐	dale,dl
大雷	dalei,dl
大雷雨	daleiyu,dly
大罍	dalei,dl
大类	dalei,dl
大离话	dalihua,dlh
大鵹	dali,dl
大礼	dali,dl
大礼拜	dalibai,dlb
大礼服	dalifu,dlf
大礼堂	dalitang,dlt
大李杜	dalidu,dld
大李将军	dalijiangjun,dljj
大里	dali,dl
大里市	dalishi,dls
大理	dali,dl
大理白族自治州	dalibaizuzizhizhou,dlbzzzz
大理花	dalihua,dlh
大理石	dalishi,dls
大理市	dalishi,dls
大理寺	dalisi,dls
大理寺卿	dalisiqing,dlsq
大理岩	daliyan,dly
大理院	daliyuan,dly
大理州	dalizhou,dlz
大力	dali,dl
大力钳	daliqian,dlq
大力神	dalishen,dls
大力神杯	dalishenbei,dlsb
大力士	dalishi,dls
大力水手	dalishuishou,dlss
大力丸	daliwan,dlw
大历	dali,dl
大历十才子	dalishicaizi,dlscz
大历体	daliti,dlt
大厉	dali,dl
大立柜	daligui,dlg
大立菊	daliju,dlj
大吏	dali,dl
大丽花	dalihua,dlh
大利稽	daliji,dlj
大利拉	dalila,dll
大例	dali,dl
大荔	dali,dl
大荔人	daliren,dlr
大荔县	dalixian,dlx
大连	dalian,dl
大连海事大学	dalianhaishixue,dlhsx
大连理工大学	dalianligongxue,dllgx
大连市	dalianshi,dls
大连外国语大学	dalianwaiguoyuxue,dlwgyx
大镰刀	daliandao,dld
大敛	dalian,dl
大练	dalian,dl
大恋	dalian,dl
大殓	dalian,dl
大良造	daliangzao,dlz
大凉山	daliangshan,dls
大梁	daliang,dl
大两	daliang,dl
大量	daliang,dl
