受保人	shoubaoren,sbr
受生	shousheng,ss
受时	shoushi,ss
受事	shoushi,ss
受试者	shoushizhe,ssz
受室	shoushi,ss
受誓	shoushi,ss
受授	shou,s
受书	shoushu,ss
受暑	shoushu,ss
受署	shoushu,ss
受私	shousi,ss
受死	shousi,ss
受岁	shousui,ss
受损	shousun,ss
受胎	shoutai,st
受体	shouti,st
受体拮抗剂	shoutijiekangji,stjkj
受田	shoutian,st
受听	shouting,st
受头	shoutou,st
受图	shoutu,st
受土	shoutu,st
受讬	shoutuo,st
受托	shoutuo,st
受托人	shoutuoren,str
受托者	shoutuozhe,stz
受污	shouwu,sw
受息	shouxi,sx
受洗	shouxi,sx
受洗命名	shouximing,sxm
受限	shouxian,sx
受享	shouxiang,sx
受刑	shouxing,sx
受刑人	shouxingren,sxr
受形	shouxing,sx
受姓	shouxing,sx
受性	shouxing,sx
受学	shouxue,sx
受训	shouxun,sx
受讯	shouxun,sx
受言	shouyan,sy
受邀	shouyao,sy
受业	shouye,sy
受遗	shouyi,sy
受益	shouyi,sy
受益匪浅	shouyifeiqian,syfq
受益人	shouyiren,syr
受用	shouyong,sy
受冤	shouyuan,sy
受援	shouyuan,sy
受约束	shouyueshu,sys
受月	shouyue,sy
受钺	shouyue,sy
受阅	shouyue,sy
受孕	shouyun,sy
受灾	shouzai,sz
受灾地区	shouzaidiqu,szdq
受责	shouze,sz
受支配	shouzhipei,szp
受知	shouzhi,sz
受直	shouzhi,sz
受职	shouzhi,sz
受祉	shouzhi,sz
受制	shouzhi,sz
受制于人	shouzhiyuren,szyr
受治	shouzhi,sz
受终	shouzhong,sz
受众	shouzhong,sz
受主	shouzhu,sz
受阻	shouzu,sz
受罪	shouzui,sz
受祚	shouzuo,sz
受胙	shouzuo,sz
