重童	zhongtong,zt
重童子	zhongtongzi,ztz
重瞳	zhongtong,zt
重瞳目	zhongtongmu,ztm
重瞳子	zhongtongzi,ztz
重头	chongtou,ct
重头戏	zhongtouxi,ztx
重推	zhongtui,zt
重讬	zhongtuo,zt
重托	zhongtuo,zt
重完	zhongwan,zw
重玩	chongwan,cw
重辋	zhongwang,zw
重望	zhongwang,zw
重望高名	zhongwanggaoming,zwgm
重隈	zhongwei,zw
重围	chongwei,cw
重帏	zhongwei,zw
重违	zhongwei,zw
重闱	zhongwei,zw
重位	zhongwei,zw
重味	chongwei,cw
重畏	zhongwei,zw
重温	chongwen,cw
重温旧梦	chongwenjiumeng,cwjm
重温旧业	chongwenjiuye,cwjy
重文	chongwen,cw
重文轻武	zhongwenqingwu,zwqw
重问	zhongwen,zw
重幄	zhongwo,zw
重屋	chongwu,cw
重五	chongwu,cw
重午	chongwu,cw
重武器	zhongwuqi,zwq
重务	zhongwu,zw
重物	zhongwu,zw
重息	zhongxi,zx
重惜	zhongxi,zx
重熙	zhongxi,zx
重熙累绩	chongxileiji,cxlj
重熙累洽	chongxileiqia,cxlq
重熙累盛	chongxileisheng,cxls
重熙累叶	chongxileiye,cxly
重席	chongxi,cx
重袭	zhongxi,zx
重险	zhongxian,zx
重现	chongxian,cx
重现江湖	chongxianjianghu,cxjh
重箱	zhongxiang,zx
重详	zhongxiang,zx
重霄	chongxiao,cx
重孝	zhongxiao,zx
重校	zhongxiao,zx
重械	zhongxie,zx
重心	zhongxin,zx
重新	chongxin,cx
重新地	chongxinde,cxd
重新开机	chongxinkaiji,cxkj
重新开始	chongxinkaishi,cxks
重新评价	chongxinpingjia,cxpj
重新启动	chongxinqidong,cxqd
重新审视	chongxinshenshi,cxss
重新统一	chongxintongyi,cxty
重新造林	chongxinzaolin,cxzl
重新装修	chongxinzhuangxiu,cxzx
重新做人	chongxinzuoren,cxzr
重星	zhongxing,zx
重刑	zhongxing,zx
重行	chongxing,cx
重形式轻内容	zhongxingshiqingneirong,zxsqnr
重型	zhongxing,zx
重型坦克	zhongxingtanke,zxtk
重兴旗鼓	chongxingqigu,cxqg
重姓	zhongxing,zx
重修	chongxiu,cx
重修旧好	chongxiujiuhao,cxjh
重羞	zhongxiu,zx
重岫	zhongxiu,zx
重轩	zhongxuan,zx
重宣	zhongxuan,zx
重玄	zhongxuan,zx
重选	chongxuan,cx
重学	zhongxue,zx
重勋	zhongxun,zx
重训	zhongxun,zx
重巽	zhongxun,zx
重压	zhongya,zy
重压纸	zhongyazhi,zyz
重牙	zhongya,zy
重崖	zhongya,zy
重涯	zhongya,zy
重言	zhongyan,zy
重岩	zhongyan,zy
重岩迭障	chongyandiezhang,cydz
重岩迭嶂	zhongyandiezhang,zydz
重岩叠障	chongyandiezhang,cydz
重岩叠嶂	chongyandiezhang,cydz
重檐	zhongyan,zy
重櫩	zhongyan,zy
重眼皮	chongyanpi,cyp
重眼皮儿	chongyanpier,cype
重演	chongyan,cy
重巘	zhongyan,zy
重宴鹿鸣	zhongyanluming,zylm
重宴琼林	zhongyanqionglin,zyql
重阳	chongyang,cy
重阳糕	chongyanggao,cyg
重阳餻	chongyanggao,cyg
重阳节	chongyangjie,cyj
重阳酒	chongyangjiu,cyj
重阳落帽	chongyangluomao,cylm
重洋	chongyang,cy
重样	chongyang,cy
重爻	zhongyao,zy
重要	zhongyao,zy
重要地	zhongyaode,zyd
重要人物	zhongyaorenwu,zyrw
重要性	zhongyaoxing,zyx
重曜	zhongyao,zy
重业	zhongye,zy
重叶	zhongye,zy
重叶梅	zhongyemei,zym
重衣	zhongyi,zy
重貤	zhongyi,zy
重移	zhongyi,zy
重义	zhongyi,zy
重义轻财	zhongyiqingcai,zyqc
重义轻利	zhongyiqingli,zyql
重义轻生	zhongyiqingsheng,zyqs
重议	zhongyi,zy
重译	chongyi,cy
重帟	zhongyi,zy
重谊	zhongyi,zy
重意	zhongyi,zy
重毅	zhongyi,zy
重翳	zhongyi,zy
重阴	zhongyin,zy
重茵	zhongyin,zy
重音	zhongyin,zy
重音节	zhongyinjie,zyj
重裀	chongyin,cy
重裀列鼎	chongyinlieding,cyld
重鞇	zhongyin,zy
重闉	zhongyin,zy
重龈	zhongyin,zy
重印	chongyin,cy
重英	zhongying,zy
重瀛	zhongying,zy
重颖	zhongying,zy
重影	chongying,cy
重映	chongying,cy
重雍	zhongyong,zy
重用	zhongyong,zy
重油	zhongyou,zy
重油蛋糕	zhongyoudangao,zydg
重又	chongyou,cy
重于泰山	zhongyutaishan,zyts
重预鹿鸣	zhongyuluming,zylm
重遇	zhongyu,zy
重誉	zhongyu,zy
重渊	zhongyuan,zy
重元素	zhongyuansu,zys
重垣	zhongyuan,zy
重垣迭锁	chongyuandiesuo,cyds
重垣叠锁	chongyuandiesuo,cyds
重圆	chongyuan,cy
重源	zhongyuan,zy
重怨	zhongyuan,zy
重约	zhongyue,zy
重月	zhongyue,zy
重晕	zhongyun,zy
重云	zhongyun,zy
重韵	zhongyun,zy
重灾	zhongzai,zz
重灾区	zhongzaiqu,zzq
重载	zhongzai,zz
重枣	zhongzao,zz
重造	chongzao,cz
重责	zhongze,zz
重增其放	chongzhenqifang,czqf
重栅	zhongshan,zs
重张	chongzhang,cz
重者	zhongzhe,zz
重着	zhongzhe,zz
重振	chongzhen,cz
重振旗鼓	chongzhenqigu,czqg
重镇	zhongzhen,zz
重征	zhongzheng,zz
重整	chongzheng,cz
重整奥思定会	zhongzhengaosidinghui,zzasdh
重整旗鼓	chongzhengqigu,czqg
重正化	chongzhenghua,czh
重症	zhongzheng,zz
重症肌无力	zhongzhengjiwuli,zzjwl
重症监护	zhongzhengjianhu,zzjh
重知	zhongzhi,zz
重胝	zhongzhi,zz
重直	zhongzhi,zz
重职	zhongzhi,zz
重旨	zhongzhi,zz
重纸累札	chongzhileizha,czlz
重制	chongzhi,cz
重治	zhongzhi,zz
重质	zhongzhi,zz
重滞	zhongzhi,zz
重置	chongzhi,cz
重中之重	zhongzhi,zz
重终	zhong,z
重重	chong,c
重重地	zhongde,zd
重重地打在	zhongdedazai,zddz
重重地落下	zhongdelaxia,zdlx
重重地摔在	zhongdeshuaizai,zdsz
重重孙	chongsun,cs
重诛	zhongzhu,zz
重注	zhongzhu,zz
重装	zhongzhuang,zz
重膇	zhongzhui,zz
重赘	zhongzhui,zz
重拙	zhongzhuo,zz
重浊	zhongzhuo,zz
重赀	zhongzi,zz
重资	zhongzi,zz
重子	zhongzi,zz
重梓	zhongzi,zz
重字	chongzi,cz
重奏	chongzou,cz
重足	zhongzu,zz
重足而立	chongzuerli,czel
重足累息	chongzuleixi,czlx
重足屏气	chongzubingqi,czbq
重足屏息	chongzubingxi,czbx
重足一迹	chongzuyiji,czyj
重阻	zhongzu,zz
重组	chongzu,cz
重罪	zhongzui,zz
重尊	zhongzun,zz
重作冯妇	chongzuofengfu,czff
重坐	zhongzuo,zz
