电拔	dianba,db
电教	dianjiao,dj
电教馆	dianjiaoguan,djg
电釂	dianjiao,dj
电解	dianjie,dj
电解液	dianjieye,djy
电解质	dianjiezhi,djz
电介质	dianjiezhi,djz
电旌	dianjing,dj
电晶体	dianjingti,djt
电警棍	dianjinggun,djg
电竞	dianjing,dj
电局	dianju,dj
电举	dianju,dj
电炬	dianju,dj
电锯	dianju,dj
电抗	diankang,dk
电抗器	diankangqi,dkq
电烤炉	diankaolu,dkl
电烤箱	diankaoxiang,dkx
电控	diankong,dk
电缆	dianlan,dl
电缆调制解调器	dianlantiaozhijieqi,dltzjq
电缆接头	dianlanjietou,dljt
电缆塔	dianlanta,dlt
电烂	dianlan,dl
电老虎	dianlaohu,dlh
电烙铁	dianlaotie,dlt
电雷	dianlei,dl
电离	dianli,dl
电离层	dianliceng,dlc
电离度	dianlidu,dld
电离方程式	dianlifangchengshi,dlfcs
电离辐射	dianlifushe,dlfs
电离平衡	dianlipingheng,dlph
电离室	dianlishi,dls
电力	dianli,dl
电力地	dianlide,dld
电力机车	dianlijiche,dljc
电力拖动	dianlituodong,dltd
电力网	dianliwang,dlw
电力系统	dianlixitong,dlxt
电力线	dianlixian,dlx
电量	dianliang,dl
电量表	dianliangbiao,dlb
电疗	dianliao,dl
电料	dianliao,dl
电临	dianlin,dl
电铃	dianling,dl
电流	dianliu,dl
电流表	dianliubiao,dlb
电流放大器	dianliufangdaqi,dlfdq
电流互感器	dianliuhuganqi,dlhgq
电流强度	dianliuqiangdu,dlqd
电流星散	dianliuxingsan,dlxs
电炉	dianlu,dl
电路	dianlu,dl
电路板	dianluban,dlb
电路图	dianlutu,dlt
电露	dianlu,dl
电驴子	dianluzi,dlz
电麻醉	dianmazui,dmz
电码	dianma,dm
电迈	dianmai,dm
电脉冲	dianmaichong,dmc
电鳗	dianman,dm
电矛	dianmao,dm
电门	dianmen,dm
电灭	dianmie,dm
电磨	dianmo,dm
电抹	dianmo,dm
电沫	dianmo,dm
电眸	dianmou,dm
电母	dianmu,dm
电木	dianmu,dm
电目	dianmu,dm
电脑	diannao,dn
电脑病毒	diannaobingdu,dnbd
电脑断层扫描	diannaoduancengsaomiao,dndcsm
电脑辅助工程	diannaofuzhugongcheng,dnfzgc
电脑辅助教材	diannaofuzhujiaocai,dnfzjc
电脑辅助设计	diannaofuzhusheji,dnfzsj
电脑辅助设计与绘图	diannaofuzhushejiyuhuitu,dnfzsjyht
电脑绘图	diannaohuitu,dnht
电脑企业	diannaoqiye,dnqy
电脑软件	diannaoruanjian,dnrj
电脑网	diannaowang,dnw
电脑网路	diannaowanglu,dnwl
电脑系统	diannaoxitong,dnxt
电脑语言	diannaoyuyan,dnyy
电能	dianneng,dn
电能表	diannengbiao,dnb
电钮	dianniu,dn
电怒	diannu,dn
电暖器	diannuanqi,dnq
电抛光	dianpaoguang,dpg
电刨	dianbao,db
电泡	dianpao,dp
电斾	dianpei,dp
电飘	dianpiao,dp
电瓶	dianping,dp
电瓶车	dianpingche,dpc
电旗	dianqi,dq
电气	dianqi,dq
电气车	dianqiche,dqc
电气灯	dianqideng,dqd
电气风扇	dianqifengshan,dqfs
电气工程	dianqigongcheng,dqgc
电气化	dianqihua,dqh
电气化铁路	dianqihuatielu,dqhtl
电气石	dianqishi,dqs
电器	dianqi,dq
电枪	dianqiang,dq
电桥	dianqiao,dq
电顷	dianqing,dq
电驱	dianqu,dq
电阙	dianque,dq
电绕	dianrao,dr
电绕枢光	dianraoshuguang,drsg
电绕璇枢	dianraoxuanshu,drxs
电热	dianre,dr
电热杯	dianrebei,drb
电热锅	dianreguo,drg
电热壶	dianrehu,drh
电热器	dianreqi,drq
电热水器	dianreshuiqi,drsq
电热丝	dianresi,drs
电热毯	dianretan,drt
电容	dianrong,dr
电容器	dianrongqi,drq
电褥	dianru,dr
电褥子	dianruzi,drz
电扫	diansao,ds
电埽	diansao,ds
电色	dianse,ds
电闪	dianshan,ds
电闪雷鸣	dianshanleiming,dslm
电扇	dianshan,ds
电商	dianshang,ds
电舌	dianshe,ds
电射	dianshe,ds
电声	diansheng,ds
电声乐队	dianshengyuedui,dsyd
电石	dianshi,ds
电石气	dianshiqi,dsq
电示	dianshi,ds
电势	dianshi,ds
电势差	dianshicha,dsc
电视	dianshi,ds
电视差转台	dianshichazhuantai,dsczt
电视大学	dianshidaxue,dsdx
电视电话	dianshihua,dsh
电视发射塔	dianshifasheta,dsfst
电视广播	dianshiguangbo,dsgb
电视柜	dianshigui,dsg
电视会议	dianshihuiyi,dshy
电视机	dianshiji,dsj
电视接收机	dianshijieshouji,dsjsj
电视节目	dianshijiemu,dsjm
电视剧	dianshiju,dsj
电视连续剧	dianshilianxuju,dslxj
电视片	dianshipian,dsp
电视频道	dianshipindao,dspd
电视摄影机	dianshisheyingji,dssyj
电视塔	dianshita,dst
电视台	dianshitai,dst
电视网	dianshiwang,dsw
电视卫星	dianshiweixing,dswx
电视系列剧	dianshixilieju,dsxlj
电视系列片	dianshixiliepian,dsxlp
电视秀	dianshixiu,dsx
电视演播室	dianshiyanbo,dsyb
电视制导炸弹	dianshizhidaozhadan,dszdzd
电视专题片	dianshizhuantipian,dsztp
电视转播车	dianshizhuanboche,dszbc
电逝	dianshi,ds
电枢	dianshu,ds
电舒	dianshu,ds
电水壶	dianshuihu,dsh
电丝	diansi,ds
电死	diansi,ds
电速	diansu,ds
电算	diansuan,ds
电塔	dianta,dt
电闼	dianta,dt
电台	diantai,dt
电烫	diantang,dt
电讨	diantao,dt
电梯	dianti,dt
电梯井	diantijing,dtj
电天	diantian,dt
电筒	diantong,dt
电头	diantou,dt
电透	diantou,dt
电臀舞	diantunwu,dtw
电玩	dianwan,dw
电网	dianwang,dw
电往	dianwang,dw
电威	dianwei,dw
电尾	dianwei,dw
电位	dianwei,dw
电位差	dianweicha,dwc
电位差计	dianweichaji,dwcj
电位计	dianweiji,dwj
电位器	dianweiqi,dwq
电文	dianwen,dw
电蚊拍	dianwenpai,dwp
电骛	dianwu,dw
电赩	dianxi,dx
电匣子	dianxiazi,dxz
电线	dianxian,dx
电线杆	dianxiangan,dxg
电箱	dianxiang,dx
电笑	dianxiao,dx
电谢	dianxie,dx
电信	dianxin,dx
电信号	dianxinhao,dxh
电信局	dianxinju,dxj
电信网路	dianxinwanglu,dxwl
电刑	dianxing,dx
电行	dianxing,dx
电须刀	dianxudao,dxd
电学	dianxue,dx
电讯	dianxun,dx
电迅	dianxun,dx
电压	dianya,dy
电压表	dianyabiao,dyb
电压放大器	dianyafangdaqi,dyfdq
电压互感器	dianyahuganqi,dyhgq
电压计	dianyaji,dyj
电眼	dianyan,dy
电唁	dianyan,dy
电烻	dianyan,dy
电焰	dianyan,dy
电腰风脚	dianyaofengjiao,dyfj
电邀	dianyao,dy
电钥	dianyue,dy
电曜	dianyao,dy
电耀	dianyao,dy
电椅	dianyi,dy
电驿	dianyi,dy
电音	dianyin,dy
电影	dianying,dy
电影导演	dianyingdaoyan,dydy
电影放映机	dianyingfangji,dyfj
电影奖	dianyingjiang,dyj
电影节	dianyingjie,dyj
电影界	dianyingjie,dyj
电影剧本	dianyingjuben,dyjb
电影片	dianyingpian,dyp
电影票	dianyingpiao,dyp
电影摄影机	dianyingsheji,dysj
电影厅	dianyingting,dyt
电影演员	dianyingyanyuan,dyyy
电影音乐	dianyingyinyue,dyyy
电影院	dianyingyuan,dyy
电影制片	dianyingzhipian,dyzp
电影制作	dianyingzhizuo,dyzz
电影周	dianyingzhou,dyz
电泳	dianyong,dy
电邮	dianyou,dy
电邮地址	dianyoudizhi,dydz
电邮位置	dianyouweizhi,dywz
电游	dianyou,dy
电谕	dianyu,dy
电圆锯	dianyuanju,dyj
电源	dianyuan,dy
电源插座	dianyuanchazuo,dycz
电源供应器	dianyuangongyingqi,dygyq
电源线	dianyuanxian,dyx
电跃	dianyue,dy
电晕	dianyun,dy
电陨	dianyun,dy
电熨斗	dianyundou,dyd
电灶	dianzao,dz
电札	dianzha,dz
电闸	dianzha,dz
电站	dianzhan,dz
电照	dianzhao,dz
电照风行	dianzhaofengxing,dzfx
电照明	dianzhaoming,dzm
电针疗法	dianzhenliaofa,dzlf
电震	dianzhen,dz
电征	dianzheng,dz
电政	dianzheng,dz
电纸书	dianzhishu,dzs
电至	dianzhi,dz
电鸷	dianzhi,dz
电钟	dianzhong,dz
电珠	dianzhu,dz
电烛	dianzhu,dz
电爥	dianzhu,dz
电瞩	dianzhu,dz
电柱	dianzhu,dz
电转	dianzhuan,dz
电转儿	dianzhuaner,dze
电转盘	dianzhuanpan,dzp
电子	dianzi,dz
电子版	dianziban,dzb
电子表	dianzibiao,dzb
电子层	dianziceng,dzc
电子层数	dianzicengshu,dzcs
电子秤	dianzicheng,dzc
电子出版物	dianzichubanwu,dzcbw
电子词典	dianzici,dzc
电子电压表	dianziyabiao,dzyb
电子读物	dianziduwu,dzdw
电子对抗	dianziduikang,dzdk
电子对抗飞机	dianziduikangfeiji,dzdkfj
电子伏	dianzifu,dzf
电子伏特	dianzifute,dzft
电子干扰	dianziganrao,dzgr
电子工程	dianzigongcheng,dzgc
电子工业	dianzigongye,dzgy
电子狗	dianzigou,dzg
电子管	dianziguan,dzg
电子化营业	dianzihuayingye,dzhyy
电子环保亭	dianzihuanbaoting,dzhbt
电子汇款	dianzihuikuan,dzhk
电子货币	dianzihuobi,dzhb
电子计算机	dianzijisuan,dzjs
电子计算器	dianzijisuanqi,dzjsq
电子警察	dianzijingcha,dzjc
电子竞技	dianzijingji,dzjj
电子科技大学	dianzikejidaxue,dzkjdx
电子空间	dianzikongjian,dzkj
电子垃圾	dianzilaji,dzlj
电子乐器	dianziyueqi,dzyq
电子流	dianziliu,dzl
电子论	dianzilun,dzl
电子模拟计算机	dianzimonijisuan,dzmnjs
电子排版	dianzipaiban,dzpb
电子排布式	dianzipaibushi,dzpbs
电子盘	dianzipan,dzp
电子器件	dianziqijian,dzqj
电子枪	dianziqiang,dzq
电子琴	dianziqin,dzq
电子驱蚊器	dianziquwenqi,dzqwq
电子人	dianziren,dzr
电子商务	dianzishangwu,dzsw
电子式	dianzishi,dzs
电子手表	dianzishoubiao,dzsb
电子手帐	dianzishouzhang,dzsz
电子书	dianzishu,dzs
电子束	dianzishu,dzs
电子数据交换	dianzishujujiaohuan,dzsjjh
电子数字计算机	dianzishujisuan,dzsjs
电子陶瓷	dianzitaoci,dztc
电子图书	dianzitushu,dzts
电子玩具	dianziwanju,dzwj
电子网络	dianziwangluo,dzwl
电子文件	dianziwenjian,dzwj
电子稳定程序	dianziwendingchengxu,dzwdcx
电子舞曲	dianziwuqu,dzwq
电子显微镜	dianzixianweijing,dzxwj
电子信箱	dianzixinxiang,dzxx
电子学	dianzixue,dzx
电子学系	dianzixuexi,dzxx
电子亚层	dianziyaceng,dzyc
电子烟	dianziyan,dzy
电子眼	dianziyan,dzy
电子业	dianziye,dzy
电子音乐	dianziyinyue,dzyy
电子邮件	dianziyoujian,dzyj
电子邮箱	dianziyouxiang,dzyx
电子游戏	dianziyouxi,dzyx
电子游戏机	dianziyouxiji,dzyxj
电子云	dianziyun,dzy
电子侦察	dianzizhencha,dzzc
电子侦察卫星	dianzizhenchaweixing,dzzcwx
电阻	dianzu,dz
电阻定律	dianzudinglu,dzdl
电阻合金	dianzuhejin,dzhj
电阻率	dianzulu,dzl
电阻器	dianzuqi,dzq
电阻箱	dianzuxiang,dzx
电钻	dianzuan,dz
