石硪	shiwo,sw
石屋	shiwu,sw
石坞	shiwu,sw
石隖	shiwu,sw
石犀	shixi,sx
石溪	shixi,sx
石磎	shiqi,sq
石席	shixi,sx
石玺	shixi,sx
石舄	shixi,sx
石磶	shixi,sx
石匣	shixia,sx
石峡	shixia,sx
石罅	shixia,sx
石弦	shixian,sx
石藓	shixian,sx
石苋	shixian,sx
石限	shixian,sx
石乡侯	shixianghou,sxh
石像	shixiang,sx
石像鬼	shixianggui,sxg
石蟹	shixie,sx
石心	shixin,sx
石心木肠	shixinmuchang,sxmc
石薪	shixin,sx
石星	shixing,sx
石腥	shixing,sx
石刑	shixing,sx
石兄	shixiong,sx
石虚中	shixuzhong,sxz
石洫	shixu,sx
石穴	shixue,sx
石牙	shiya,sy
石崖	shiya,sy
石烟	shiyan,sy
石言	shiyan,sy
石岩	shiyan,sy
石研	shiyan,sy
石研关	shiyanguan,syg
石盐	shiyan,sy
石盐木	shiyanmu,sym
石筵	shiyan,sy
石眼	shiyan,sy
石甗	shiyan,sy
石砚	shiyan,sy
石堰	shiyan,sy
石燕	shiyan,sy
石羊	shiyang,sy
石妖	shiyao,sy
石药	shiyao,sy
石叶	shiye,sy
石液	shiye,sy
石衣	shiyi,sy
石音	shiyin,sy
石垠	shiyin,sy
石印	shiyin,sy
石英	shiying,sy
石英表	shiyingbiao,syb
石英玻璃	shiyingboli,sybl
石英卤素灯	shiyinglusudeng,sylsd
石英脉	shiyingmai,sym
石英钟	shiyingzhong,syz
石影	shiying,sy
石尤	shiyou,sy
石尤风	shiyoufeng,syf
石邮	shiyou,sy
石油	shiyou,sy
石油地蜡	shiyoudila,sydl
石油化学	shiyouhuaxue,syhx
石油换食品项目	shiyouhuanpinxiangmu,syhpxm
石油蜡	shiyoula,syl
石油美元	shiyoumeiyuan,symy
石油醚	shiyoumi,sym
石油气	shiyouqi,syq
石油输出国组织	shiyoushuchuguozuzhi,syscgzz
石友	shiyou,sy
石于菟	shiyutu,syt
石鱼湖	shiyuhu,syh
石玉昆	shiyukun,syk
石原慎太郎	shiyuanshentailang,systl
石榞	shiyuan,sy
石苑	shiyuan,sy
石云	shiyun,sy
石菑	shizi,sz
石灶	shizao,sz
石鲗	shizei,sz
石渣	shizha,sz
石闸	shizha,sz
石牐	shizha,sz
石盏	shizhan,sz
石栈	shizhan,sz
石丈	shizhang,sz
石丈人	shizhangren,szr
石沼	shizhao,sz
石砧	shizhen,sz
石枕	shizhen,sz
石脂	shizhi,sz
石脂水	shizhishui,szs
石樴子	shizhizi,szz
石趾	shizhi,sz
石志	shizhi,sz
石质	shizhi,sz
石中黄	shizhonghuang,szh
石中黄子	shizhonghuangzi,szhz
石中美	shizhongmei,szm
石钟乳	shizhongru,szr
石钟山	shizhongshan,szs
石州	shizhou,sz
石甃	shizhou,sz
石珠	shizhu,sz
石猪	shizhu,sz
石竹	shizhu,sz
石竹科	shizhuke,szk
石竹目	shizhumu,szm
石竹属	shizhushu,szs
石烛	shizhu,sz
石主	shizhu,sz
石渚	shizhu,sz
石柱	shizhu,sz
石柱土家族自治县	shizhutujiazuzizhixian,sztjzzzx
石柱县	shizhuxian,szx
石状	shizhuang,sz
石撞	shizhuang,sz
石缁	shizi,sz
石子	shizi,sz
石子儿	shizier,sze
石镞	shizu,sz
石阻	shizu,sz
石祖	shizu,sz
石嘴山	shizuishan,szs
石嘴山区	shizuishanqu,szsq
石嘴山市	shizuishan,szs
石作	shizuo,sz
