地媪	diao,da
地户	dihu,dh
地滑	dihua,dh
地皇	dihuang,dh
地黄	dihuang,dh
地黄牛	dihuangniu,dhn
地喙	dihui,dh
地火	dihuo,dh
地货	dihuo,dh
地机	diji,dj
地鸡	diji,dj
地积	diji,dj
地积单	dijidan,djd
地基	diji,dj
地级	diji,dj
地级市	dijishi,djs
地极	diji,dj
地棘天荆	dijitianjing,djtj
地瘠民贫	dijiminpin,djmp
地籍	diji,dj
地脊	diji,dj
地记	diji,dj
地纪	diji,dj
地岬	dijia,dj
地价	dijia,dj
地价税	dijiashui,djs
地架	dijia,dj
地检署	dijianshu,djs
地简	dijian,dj
地浆	dijiang,dj
地郊	dijiao,dj
地椒	dijiao,dj
地角	dijiao,dj
地角天涯	dijiaotianya,djty
地脚	dijiao,dj
地窖	dijiao,dj
地接	dijie,dj
地节	dijie,dj
地岊	dijie,dj
地芥	dijie,dj
地界	dijie,dj
地金	dijin,dj
地锦	dijin,dj
地禁	dijin,dj
地经	dijing,dj
地精	dijing,dj
地景	dijing,dj
地境	dijing,dj
地镜	dijing,dj
地久天长	dijiutianchang,djtc
地炕	dikang,dk
地壳	diqiao,dq
地壳运动	diqiaoyundong,dqyd
地客	dike,dk
地空导弹	dikongdaodan,dkdd
地窟	diku,dk
地块	dikuai,dk
地块儿	dikuaier,dke
地旷人稀	dikuangrenxi,dkrx
地矿	dikuang,dk
地拉那	dilana,dln
地腊	dila,dl
地籁	dilai,dl
地狼	dilang,dl
地牢	dilao,dl
地老虎	dilaohu,dlh
地老鼠	dilaoshu,dls
地老天荒	dilaotianhuang,dlth
地老天昏	dilaotianhun,dlth
地雷	dilei,dl
地雷战	dileizhan,dlz
地雷阵	dileizhen,dlz
地垒	dilei,dl
地塄	dileng,dl
地棱	dileng,dl
地楞	dileng,dl
地厘	dili,dl
地梨	dili,dl
地里	dili,dl
地里鬼	diligui,dlg
地理	dili,dl
地理定位	dilidingwei,dldw
地理环境	dilihuanjing,dlhj
地理环境决定论	dilihuanjingjuedinglun,dlhjjdl
地理极	diliji,dlj
地理家	dilijia,dlj
地理模型	dilimoxing,dlmx
地理师	dilishi,dls
地理数据	dilishuju,dlsj
地理数据库	dilishujuku,dlsjk
地理图	dilitu,dlt
地理纬度	diliweidu,dlwd
地理位置	diliweizhi,dlwz
地理系统	dilixitong,dlxt
地理先生	dilixiansheng,dlxs
地理信息	dilixinxi,dlxx
地理信息系统	dilixinxitong,dlxxt
地理学	dilixue,dlx
地理学家	dilixuejia,dlxj
地理要素	diliyaosu,dlys
地力	dili,dl
地利	dili,dl
地利人和	dilirenhe,dlrh
地沥青	diliqing,dlq
地栗	dili,dl
地埒	dilie,dl
地裂	dilie,dl
地邻	dilin,dl
地灵	diling,dl
地灵人杰	dilingrenjie,dlrj
地凌	diling,dl
地龙	dilong,dl
地垄	dilong,dl
地漏	dilou,dl
地庐	dilu,dl
地炉	dilu,dl
地箓	dilu,dl
地轮	dilun,dl
地论宗	dilunzong,dlz
地罗	diluo,dl
地络	diluo,dl
地脉	dimai,dm
地幔	diman,dm
地毛	dimao,dm
地貌	dimao,dm
地貌学	dimaoxue,dmx
地门	dimen,dm
地面	dimian,dm
地面部队	dimianbudui,dmbd
地面层	dimianceng,dmc
地面沉降	dimianchenjiang,dmcj
地面辐射	dimianfushe,dmfs
地面灌溉	dimianguangai,dmgg
地面核爆炸	dimianhebaozha,dmhbz
地面控制	dimiankongzhi,dmkz
地面零点	dimianlingdian,dmld
地面气压	dimianqiya,dmqy
地面水	dimianshui,dms
地面温度	dimianwendu,dmwd
地面站	dimianzhan,dmz
地名	diming,dm
地膜	dimo,dm
地亩	dimu,dm
地牛翻身	diniufanshen,dnfs
地纽	diniu,dn
地拍鼠	dipaishu,dps
地排车	dipaiche,dpc
地盘	dipan,dp
地陪	dipei,dp
地皮	dipi,dp
地痞	dipi,dp
地癖	dipi,dp
地平	diping,dp
地平川	dipingchuan,dpc
地平面	dipingmian,dpm
地平天成	dipingtiancheng,dptc
地平线	dipingxian,dpx
地平坐标系	dipingzuobiaoxi,dpzbx
地坪	diping,dp
地铺	dipu,dp
地圻	diqi,dq
地祇	diqi,dq
地祇坛	diqitan,dqt
地气	diqi,dq
地契	diqi,dq
地钱	diqian,dq
地堑	diqian,dq
地枪	diqiang,dq
地勤	diqin,dq
地勤人员	diqinrenyuan,dqry
地球	diqiu,dq
地球磁场	diqiucichang,dqcc
地球村	diqiucun,dqc
地球辐射带	diqiufushedai,dqfsd
地球轨道	diqiuguidao,dqgd
地球化学	diqiuhuaxue,dqhx
地球科学	diqiukexue,dqkx
地球同步轨道	diqiutongbuguidao,dqtbgd
地球同步卫星	diqiutongbuweixing,dqtbwx
地球椭球	diqiutuo,dqt
地球物理	diqiuwuli,dqwl
地球物理学	diqiuwulixue,dqwlx
地球仪	diqiuyi,dqy
地球资源卫星	diqiuziyuanweixing,dqzywx
地区	diqu,dq
地区差价	diquchajia,dqcj
地区冲突	diquchongtu,dqct
地区法院	diqufayuan,dqfy
地区经济	diqujingji,dqjj
地区性	diquxing,dqx
地权	diquan,dq
地券	diquan,dq
地热	dire,dr
地热电站	diredianzhan,drdz
地热发电厂	direfadianchang,drfdc
地热能	direneng,drn
地热学	direxue,drx
地热资源	direziyuan,drzy
地日草	diricao,drc
地乳	diru,dr
地入	diru,dr
地塞米松	disaimisong,dsms
地三鲜	disanxian,dsx
地涩	dise,ds
地煞	disha,ds
地上	dishang,ds
地上河	dishanghe,dsh
地上茎	dishangjing,dsj
地上天宫	dishangtiangong,dstg
地上天官	dishangtianguan,dstg
地神	dishen,ds
地声	disheng,ds
地师	dishi,ds
地史	dishi,ds
地市	dishi,ds
地事	dishi,ds
地势	dishi,ds
地势图	dishitu,dst
地室	dishi,ds
地首	dishou,ds
地书	dishu,ds
地数	dishu,ds
地税	dishui,ds
地讼	disong,ds
地俗	disu,ds
地速	disu,ds
地隧	disui,ds
地塌天荒	ditatianhuang,dtth
地台	ditai,dt
地摊	ditan,dt
地摊儿	ditaner,dte
地坛	ditan,dt
地毯	ditan,dt
地毯式轰炸	ditanshihongzha,dtshz
地毯拖鞋	ditantuoxie,dttx
地躺拳	ditangquan,dtq
地慝	dite,dt
地体	diti,dt
地铁	ditie,dt
地铁站	ditiezhan,dtz
地听	diting,dt
地统	ditong,dt
地头	ditou,dt
地头地脑	ditounao,dtn
地头鬼	ditougui,dtg
地头钱	ditouqian,dtq
地头蛇	ditoushe,dts
地突	ditu,dt
地图	ditu,dt
地图册	dituce,dtc
地图集	dituji,dtj
地图学	dituxue,dtx
地土	ditu,dt
地土牒	ditudie,dtd
地土蛇	ditushe,dts
地网	diwang,dw
地网天罗	diwangtianluo,dwtl
地望	diwang,dw
地维	diwei,dw
地委	diwei,dw
地位	diwei,dw
地温	diwen,dw
地文	diwen,dw
地窝子	diwozi,dwz
地物	diwu,dw
地西泮	dixipan,dxp
地戏	dixi,dx
地匣	dixia,dx
地峡	dixia,dx
地下	dixia,dx
地下采矿	dixiacaikuang,dxck
地下党	dixiadang,dxd
地下工厂	dixiagongchang,dxgc
地下宫殿	dixiagongdian,dxgd
地下灌溉	dixiaguangai,dxgg
地下河	dixiahe,dxh
地下核爆炸	dixiahebaozha,dxhbz
地下核试验	dixiaheshiyan,dxhsy
地下建筑物	dixiajianzhuwu,dxjzw
地下街	dixiajie,dxj
地下茎	dixiajing,dxj
地下郎	dixialang,dxl
地下钱庄	dixiaqianzhuang,dxqz
地下情	dixiaqing,dxq
地下热	dixiare,dxr
地下室	dixiashi,dxs
地下水	dixiashui,dxs
地下水回灌	dixiashuihuiguan,dxshg
地下水库	dixiashuiku,dxsk
地下铁道	dixiatiedao,dxtd
地下铁路	dixiatielu,dxtl
地下通道	dixiatongdao,dxtd
地下修文	dixiaxiuwen,dxxw
地仙	dixian,dx
地险	dixian,dx
地线	dixian,dx
地陷	dixian,dx
地心	dixin,dx
地心说	dixinshuo,dxs
地心纬度	dixinweidu,dxwd
地心吸力	dixinxili,dxxl
地心引力	dixinyinli,dxyl
地行仙	dixingxian,dxx
地形	dixing,dx
地形家	dixingjia,dxj
地形图	dixingtu,dxt
地穴	dixue,dx
地学	dixue,dx
地学通论	dixuetonglun,dxtl
地学夏令营	dixuexialingying,dxxly
地厌	diyan,dy
地堰	diyan,dy
地雁	diyan,dy
地羊	diyang,dy
地妖	diyao,dy
地窑	diyao,dy
地一	diyi,dy
地衣	diyi,dy
地衣植物	diyizhiwu,dyzw
地宜	diyi,dy
地埶	diyi,dy
地垠	diyin,dy
地隐	diyin,dy
地螾	diyin,dy
地窨	diyin,dy
地窨子	diyinzi,dyz
地榆	diyu,dy
地舆	diyu,dy
地宇	diyu,dy
地狱	diyu,dy
地狱变相	diyubianxiang,dybx
地域	diyu,dy
地域分工	diyufengong,dyfg
地圆说	diyuanshuo,dys
地缘	diyuan,dy
地缘战略	diyuanzhanlue,dyzl
地缘政治	diyuanzhengzhi,dyzz
地缘政治学	diyuanzhengzhixue,dyzzx
地约	diyue,dy
地灶	dizao,dz
地毡	dizhan,dz
地掌柜	dizhanggui,dzg
地照	dizhao,dz
地着	dizhe,dz
地阵	dizhen,dz
地阵板	dizhenban,dzb
地震	dizhen,dz
地震波	dizhenbo,dzb
地震带	dizhendai,dzd
地震活动带	dizhenhuodongdai,dzhdd
地震计	dizhenji,dzj
地震局	dizhenju,dzj
地震烈度	dizhenliedu,dzld
地震棚	dizhenpeng,dzp
地震区	dizhenqu,dzq
地震学	dizhenxue,dzx
地震学家	dizhenxuejia,dzxj
地震仪	dizhenyi,dzy
地震预报	dizhenyubao,dzyb
地震站	dizhenzhan,dzz
地震震级	dizhenji,dzj
地震中	dizhenzhong,dzz
地征	dizheng,dz
地正	dizheng,dz
地政	dizheng,dz
地支	dizhi,dz
地芝	dizhi,dz
地脂	dizhi,dz
地职	dizhi,dz
地址	dizhi,dz
地址解析协议	dizhijiexixieyi,dzjxxy
地志	dizhi,dz
地制	dizhi,dz
地质	dizhi,dz
地质力学	dizhilixue,dzlx
地质罗盘	dizhiluopan,dzlp
地质年表	dizhinianbiao,dznb
地质年代	dizhiniandai,dznd
地质年代表	dizhiniandaibiao,dzndb
地质时代	dizhishidai,dzsd
地质学	dizhixue,dzx
地质学家	dizhixuejia,dzxj
地质作用	dizhizuoyong,dzzy
地中	dizhong,dz
地中海	dizhonghai,dzh
地中海贫血	dizhonghaipinxue,dzhpx
地中海气候	dizhonghaiqihou,dzhqh
地重	dizhong,dz
地轴	dizhou,dz
地胄	dizhou,dz
地烛	dizhu,dz
地主	dizhu,dz
地主队	dizhudui,dzd
地主家庭	dizhujiating,dzjt
地主阶级	dizhujieji,dzjj
地主之仪	dizhuzhiyi,dzzy
地主之谊	dizhuzhiyi,dzzy
地主制经济	dizhuzhijingji,dzzjj
地砖	dizhuan,dz
地转	dizhuan,dz
地子	dizi,dz
地租	dizu,dz
地租收入	dizushouru,dzsr
地坐	dizuo,dz
