杜霸	duba,db
杜门塞窦	dumensedou,dmsd
杜门诗	dumenshi,dms
杜门谢客	dumenxieke,dmxk
杜门自绝	dumenzijue,dmzj
杜门自守	dumenzishou,dmzs
杜米	dumi,dm
杜默	dumo,dm
杜默为诗	dumoweishi,dmws
杜母	dumu,dm
杜牧	dumu,dm
杜鹏程	dupengcheng,dpc
杜魄	dupo,dp
杜琪峰	duqifeng,dqf
杜弃	duqi,dq
杜秋	duqiu,dq
杜秋娘	duqiuniang,dqn
杜秋娘歌	duqiuniangge,dqng
杜秋之年	duqiuzhinian,dqzn
杜曲	duqu,dq
杜权	duquan,dq
杜若	duruo,dr
杜塞	duse,ds
杜塞道夫	dusedaofu,dsdf
杜塞尔多夫	dusaierduofu,dsedf
杜莎夫人	dusuofuren,dsfr
杜尚别	dushangbie,dsb
杜诗	dushi,ds
杜诗韩集	dushihanji,dshj
杜诗韩文	dushihanwen,dshw
杜十娘	dushiniang,dsn
杜十姨	dushiyi,dsy
杜氏腺	dushixian,dsx
杜氏腺体	dushixianti,dsxt
杜墅	dushu,ds
杜司勋	dusixun,dsx
杜松子	dusongzi,dsz
杜松子酒	dusongzijiu,dszj
杜田	dutian,dt
杜瓦利埃	duwaliai,dwla
杜威	duwei,dw
杜微慎防	duweishenfang,dwsf
杜韦娘	duweiniang,dwn
杜卫	duwei,dw
杜五	duwu,dw
杜武库	duwuku,dwk
杜隙	duxi,dx
杜隙防微	duxifangwei,dxfw
杜心	duxin,dx
杜学	duxue,dx
杜荀鹤	duxunhe,dxh
杜伊斯堡	duyisibao,dysb
杜仪	duyi,dy
杜义	duyi,dy
杜邮	duyou,dy
杜邮剑	duyoujian,dyj
杜邮亭	duyouting,dyt
杜邮之赐	duyouzhici,dyzc
杜邮之戮	duyouzhilu,dyzl
杜宇	duyu,dy
杜聿明	duyuming,dym
杜园	duyuan,dy
杜园笋	duyuansun,dys
杜月笙	duyuesheng,dys
杜酝	duyun,dy
杜造	duzao,dz
杜觯	duzhi,dz
杜仲	duzhong,dz
杜主	duzhu,dz
杜撰	duzhuan,dz
杜撰地	duzhuande,dzd
杜紫微	duziwei,dzw
杜做	duzuo,dz
