惊愚骇俗	jingyuhaisu,jyhs
惊羽	jingyu,jy
惊猿脱兔	jingyuantuotu,jytt
惊悦	jingyue,jy
惊跃	jingyue,jy
惊殒	jingyun,jy
惊噪	jingzao,jz
惊躁	jingzao,jz
惊迮	jingze,jz
惊乍	jingzha,jz
惊乍乍	jingzha,jz
惊咤	jingzha,jz
惊瞻	jingzhan,jz
惊战	jingzhan,jz
惊张	jingzhang,jz
惊棹	jingzhao,jz
惊蛰	jingzhe,jz
惊枕	jingzhen,jz
惊震	jingzhen,jz
惊怔	jingzheng,jz
惊逐	jingzhu,jz
惊瞩	jingzhu,jz
惊壮	jingzhuang,jz
惊惴	jingzhui,jz
惊灼	jingzhuo,jz
惊走	jingzou,jz
惊嘬嘬	jingzuo,jz
惊坐	jingzuo,jz
惊座	jingzuo,jz
