土盎	tuang,ta
土木	tumu,tm
土木八	tumuba,tmb
土木堡	tumupu,tmp
土木工程	tumugongcheng,tmgc
土木监	tumujian,tmj
土木身	tumushen,tms
土木形骸	tumuxinghai,tmxh
土木之变	tumuzhibian,tmzb
土木之祸	tumuzhihuo,tmzh
土木之难	tumuzhinan,tmzn
土目	tumu,tm
土难	tunan,tn
土囊	tunang,tn
土泥	tuni,tn
土牛	tuniu,tn
土牛木马	tuniumuma,tnmm
土偶	tuou,to
土偶蒙金	tuoumengjin,tomj
土偶人	tuouren,tor
土耦人	tuouren,tor
土炮	tupao,tp
土坯	tupi,tp
土平	tuping,tp
土坪	tuping,tp
土坡	tupo,tp
土祇	tuqi,tq
土气	tuqi,tq
土器	tuqi,tq
土枪	tuqiang,tq
土腔	tuqiang,tq
土强	tuqiang,tq
土墙	tuqiang,tq
土青木香	tuqingmuxiang,tqmx
土丘	tuqiu,tq
土蛆	tuqu,tq
土犬	tuquan,tq
土穰细流	turangxiliu,trxl
土壤	turang,tr
土壤地带性	turangdidaixing,trddx
土壤胶体	turangjiaoti,trjt
土壤空气	turangkongqi,trkq
土壤母质	turangmuzhi,trmz
土壤水	turangshui,trs
土壤污染	turangwuran,trwr
土壤细流	turangxiliu,trxl
土壤学	turangxue,trx
土人	turen,tr
土肉	turou,tr
土桑	tusang,ts
土色	tuse,ts
土僧	tuseng,ts
土山	tushan,ts
土山头果毅	tushantouguoyi,tstgy
土舍	tushe,ts
土社	tushe,ts
土绅	tushen,ts
土神	tushen,ts
土生土长	tushengzhang,tsz
土师	tushi,ts
土石方	tushifang,tsf
土石流	tushiliu,tsl
土实	tushi,ts
土市	tushi,ts
土市子	tushizi,tsz
土事	tushi,ts
土室	tushi,ts
土鼠随金虎	tushusuijinhu,tssjh
土司	tusi,ts
土思	tusi,ts
土酥	tusu,ts
土俗	tusu,ts
土宿	tusu,ts
土塑	tusu,ts
土笋	tusun,ts
土谈	tutan,tt
土炭	tutan,tt
土塘	tutang,tt
土特产	tutechan,ttc
土田	tutian,tt
土头	tutou,tt
土头土脑	tutounao,ttn
土涂	tu,t
土团	tutuan,tt
土豚	tutun,tt
土魠鱼	tutuoyu,tty
土顽	tuwan,tw
土王	tuwang,tw
土围	tuwei,tw
土围子	tuweizi,twz
土卫	tuwei,tw
土卫二	tuweier,twe
土卫六	tuweiliu,twl
土味	tuwei,tw
土味情话	tuweiqinghua,twqh
土温	tuwen,tw
土屋	tuwu,tw
土物	tuwu,tw
土戏	tuxi,tx
土系	tuxi,tx
土香	tuxiang,tx
土枭	tuxiao,tx
土硝	tuxiao,tx
土星	tuxing,tx
土腥	tuxing,tx
土腥气	tuxingqi,txq
土腥味	tuxingwei,txw
土刑	tuxing,tx
土行	tuxing,tx
土行孙	tuxingsun,txs
土形	tuxing,tx
土型	tuxing,tx
土硎	tuxing,tx
土铏	tuxing,tx
土杏	tuxing,tx
土姓	tuxing,tx
土性	tuxing,tx
土蓄	tuxu,tx
土训	tuxun,tx
土鸭	tuya,ty
土烟	tuyan,ty
土眼	tuyan,ty
土隁	tuyan,ty
土堰	tuyan,ty
土洋	tuyang,ty
土洋并举	tuyangbingju,tybj
土洋结合	tuyangjiehe,tyjh
土窑	tuyao,ty
土窑子	tuyaozi,tyz
土药	tuyao,ty
土曜	tuyao,ty
土曜日	tuyaori,tyr
土业	tuye,ty
土揖	tuyi,ty
土仪	tuyi,ty
土宜	tuyi,ty
土音	tuyin,ty
土英	tuying,ty
土营	tuying,ty
土俑	tuyong,ty
土禺人	tuyuren,tyr
土宇	tuyu,ty
土雨	tuyu,ty
土语	tuyu,ty
土芋	tuyu,ty
土域	tuyu,ty
土元	tuyuan,ty
土约	tuyue,ty
土运	tuyun,ty
土杂肥	tuzafei,tzf
土葬	tuzang,tz
土灶	tuzao,tz
土造	tuzao,tz
土贼	tuzei,tz
土栈	tuzhan,tz
土长	tuzhang,tz
土长根生	tuzhanggensheng,tzgs
土蛰	tuzhe,tz
土着	tuzhe,tz
土正	tuzheng,tz
土政策	tuzhengce,tzc
土芝	tuzhi,tz
土蜘蛛	tuzhizhu,tzz
土纸	tuzhi,tz
土制	tuzhi,tz
土质	tuzhi,tz
土稚	tuzhi,tz
土中	tuzhong,tz
土中人	tuzhongren,tzr
土中宅	tuzhongzhai,tzz
土螽	tuzhong,tz
土种	tuzhong,tz
土重	tuzhong,tz
土周	tuzhou,tz
土朱	tuzhu,tz
土猪	tuzhu,tz
土硃	tuzhu,tz
土主	tuzhu,tz
土著	tuzhu,tz
土著人	tuzhuren,tzr
土箸	tuzhu,tz
土专家	tuzhuanjia,tzj
土族	tuzu,tz
土族语	tuzuyu,tzy
土作	tuzuo,tz
