目把	muba,mb
目无尊长	muwuzunzhang,mwzz
目下	muxia,mx
目下十行	muxiashihang,mxsh
目想	muxiang,mx
目笑	muxiao,mx
目眩	muxuan,mx
目眩神迷	muxuanshenmi,mxsm
目眩神摇	muxuanshenyao,mxsy
目眩头昏	muxuantouhun,mxth
目眩头晕	muxuantouyun,mxty
目学	muxue,mx
目眼	muyan,my
目艳	muyan,my
目验	muyan,my
目揖	muyi,my
目眙	muyi,my
目意	muyi,my
目翳	muyi,my
目语	muyu,my
目语额瞬	muyueshun,myes
目眢心忳	muyuanxintun,myxt
目眹	muzhen,mz
目怔口呆	muzhengkoudai,mzkd
目眐心骇	muzhengxinhai,mzxh
目睁口呆	muzhengkoudai,mzkd
目知眼见	muzhiyanjian,mzyj
目指	muzhi,mz
目指气使	muzhiqishi,mzqs
目治手营	muzhishouying,mzsy
目中无人	muzhongwuren,mzwr
目睭	muzhou,mz
目珠	muzhu,mz
目注	muzhu,mz
目注心凝	muzhuxinning,mzxn
目注心营	muzhuxinying,mzxy
目子钱	muziqian,mzq
目眦	muzi,mz
目眦尽裂	muzijinlie,mzjl
目𥆧	murun,mr
