移岸	yian,ya
移换	yihuan,yh
移会	yihui,yh
移祸	yihuo,yh
移机	yiji,yj
移疾	yiji,yj
移籍	yiji,yj
移记	yiji,yj
移家	yijia,yj
移驾	yijia,yj
移交	yijiao,yj
移角	yijiao,yj
移脚	yijiao,yj
移节	yijie,yj
移解	yijie,yj
移借	yijie,yj
移进	yijin,yj
移井	yijing,yj
移景	yijing,yj
移景法	yijingfa,yjf
移居	yiju,yj
移举	yiju,yj
移掘	yijue,yj
移军	yijun,yj
移开	yikai,yk
移窠	yike,yk
移刻	yike,yk
移垦	yiken,yk
移孔	yikong,yk
移阃	yikun,yk
移剌	yila,yl
移里堇	yilijin,ylj
移漏	yilou,yl
移録	yilu,yl
移律	yilu,yl
移贸	yimao,ym
移袂	yimei,ym
移民	yimin,ym
移民并村	yiminbingcun,ymbc
移民工	yimingong,ymg
移民局	yiminju,ymj
移民者	yiminzhe,ymz
移目	yimu,ym
移那	yina,yn
移年	yinian,yn
移挪	yinuo,yn
移盘吃饭汉	yipanchifanhan,ypcfh
移庖	yipao,yp
移气养体	yiqiyangti,yqyt
移寝	yiqin,yq
移倾	yiqing,yq
移情	yiqing,yq
移情别恋	yiqingbielian,yqbl
移情遣意	yiqingqian,yqq
移顷	yiqing,yq
移丘换段	yiqiuhuanduan,yqhd
移坵换段	yiqiuhuanduan,yqhd
移去	yiqu,yq
移圈	yiquan,yq
移让	yirang,yr
移人	yiren,yr
移任	yiren,yr
移日	yiri,yr
移日卜夜	yiribuye,yrby
移入	yiru,yr
移山	yishan,ys
移山拔海	yishanbahai,ysbh
移山倒海	yishandaohai,ysdh
移山回海	yishanhuihai,yshh
移山竭海	yishanjiehai,ysjh
移山跨海	yishankuahai,yskh
移山填海	yishantianhai,ysth
移山造海	yishanzaohai,yszh
移山志	yishanzhi,ysz
移善	yishan,ys
移商换羽	yishanghuanyu,yshy
移师	yishi,ys
移时	yishi,ys
移时节	yishijie,ysj
移莳	yishi,ys
移市	yishi,ys
移授	yishou,ys
移书	yishu,ys
移朔	yishuo,ys
移送	yisong,ys
移送法办	yisongfaban,ysfb
移岁	yisui,ys
移提	yiti,yt
移天	yitian,yt
移天换日	yitianhuanri,ythr
移天适人	yitianshiren,ytsr
移天徙日	yitianxiri,ytxr
移天易日	yitianri,ytr
移推	yitui,yt
移屯	yitun,yt
移挽	yiwan,yw
移位	yiwei,yw
移文	yiwen,yw
移问	yiwen,yw
移锡	yixi,yx
移檄	yixi,yx
移徙	yixi,yx
移项	yixiang,yx
移孝为忠	yixiaoweizhong,yxwz
移孝作忠	yixiaozuozhong,yxzz
移写	yixie,yx
移心	yixin,yx
移星换斗	yixinghuandou,yxhd
移行	yihang,yh
移形换步	yixinghuanbu,yxhb
移幸	yixing,yx
移眼	yiyan,yy
移液器	yiyeqi,yyq
移译	yi,y
移易	yi,y
移易迁变	yiqianbian,yqb
移盈	yiying,yy
移营	yiying,yy
移影	yiying,yy
移用	yiyong,yy
移有足无	yiyouzuwu,yyzw
移玉	yiyu,yy
移寓	yiyu,yy
移御	yiyu,yy
移辕之赏	yiyuanzhishang,yyzs
移岳	yiyue,yy
移栽	yizai,yz
移赃	yizang,yz
移葬	yizang,yz
移仗	yizhang,yz
移帐	yizhang,yz
移镇	yizhen,yz
移筝	yizheng,yz
移知	yizhi,yz
移执事	yizhishi,yzs
移植	yizhi,yz
移植手术	yizhishoushu,yzss
移植性	yizhixing,yzx
移殖	yizhi,yz
移志	yizhi,yz
移治	yizhi,yz
移置	yizhi,yz
移忠	yizhong,yz
移种	yizhong,yz
移住	yizhu,yz
移注	yizhu,yz
移转	yizhuan,yz
移咨	yizi,yz
移樽	yizun,yz
移樽就教	yizunjiujiao,yzjj
移罇	yizun,yz
移罇就教	yizunjiujiao,yzjj
