兵败如山倒	bingbairushandao,bbrsd
兵谋	bingmou,bm
兵木	bingmu,bm
兵目	bingmu,bm
兵拏祸结	bingnahuojie,bnhj
兵拿祸结	bingnahuojie,bnhj
兵难	bingnan,bn
兵弩	bingnu,bn
兵牌	bingpai,bp
兵痞	bingpi,bp
兵痞子	bingpizi,bpz
兵棋	bingqi,bq
兵旗	bingqi,bq
兵气	bingqi,bq
兵器	bingqi,bq
兵器术	bingqishu,bqs
兵钤	bingqian,bq
兵强将勇	bingqiangjiangyong,bqjy
兵强马壮	bingqiangmazhuang,bqmz
兵强则灭	bingqiangzemie,bqzm
兵权	bingquan,bq
兵人	bingren,br
兵刃	bingren,br
兵戎	bingrong,br
兵戎相见	bingrongxiangjian,brxj
兵丧	bingsang,bs
兵梢	bingshao,bs
兵舍	bingshe,bs
兵师	bingshi,bs
兵矢	bingshi,bs
兵士	bingshi,bs
兵式操	bingshicao,bsc
兵式体操	bingshiticao,bstc
兵事	bingshi,bs
兵势	bingshi,bs
兵守	bingshou,bs
兵首	bingshou,bs
兵书	bingshu,bs
兵输	bingshu,bs
兵术	bingshu,bs
兵帅	bingshuai,bs
兵厮	bingsi,bs
兵死	bingsi,bs
兵燧	bingsui,bs
兵体	bingti,bt
兵头	bingtou,bt
兵团	bingtuan,bt
兵屯	bingtun,bt
兵威	bingwei,bw
兵微将寡	bingweijianggua,bwjg
兵卫	bingwei,bw
兵未血刃	bingweixueren,bwxr
兵尉	bingwei,bw
兵闻拙速	bingwenzhuosu,bwzs
兵无常势	bingwuchangshi,bwcs
兵无常形	bingwuchangxing,bwcx
兵无斗志	bingwudouzhi,bwdz
兵无血刃	bingwuxueren,bwxr
兵伍	bingwu,bw
兵舞	bingwu,bw
兵务	bingwu,bw
兵燹	bingxian,bx
兵饷	bingxiang,bx
兵象	bingxiang,bx
兵销革偃	bingxiaogeyan,bxgy
兵械	bingxie,bx
兵衅	bingxin,bx
兵行诡道	bingxingguidao,bxgd
兵形	bingxing,bx
兵凶	bingxiong,bx
兵凶战危	bingxiongzhanwei,bxzw
兵严	bingyan,by
兵要	bingyao,by
兵要地志	bingyaodizhi,bydz
兵蚁	bingyi,by
兵役	bingyi,by
兵役法	bingyifa,byf
兵役制	bingyizhi,byz
兵役制度	bingyizhidu,byzd
兵埶	bingyi,by
兵意	bingyi,by
兵营	bingying,by
兵勇	bingyong,by
兵油子	bingyouzi,byz
兵员	bingyuan,by
兵源	bingyuan,by
兵运	bingyun,by
兵灾	bingzai,bz
兵在精而不在多	bingzaijingerbuduo,bzjebd
兵在其颈	bingzaiqijing,bzqj
兵噪	bingzao,bz
兵战	bingzhan,bz
兵站	bingzhan,bz
兵长	bingchang,bc
兵仗	bingzhang,bz
兵杖	bingzhang,bz
兵爪	bingzhao,bz
兵阵	bingzhen,bz
兵镇	bingzhen,bz
兵争	bingzheng,bz
兵政	bingzheng,bz
兵制	bingzhi,bz
兵质	bingzhi,bz
兵秩	bingzhi,bz
兵种	bingzhong,bz
兵众	bingzhong,bz
兵诛	bingzhu,bz
兵主	bingzhu,bz
兵资	bingzi,bz
兵子	bingzi,bz
兵卒	bingzu,bz
