衣摆	yibai,yb
衣衫蓝缕	yishanlanlu,ysll
衣衫褴褛	yishanlanlu,ysll
衣裳	yishang,ys
衣裳格子	yishanggezi,ysgz
衣裳槅子	yichanggezi,ycgz
衣裳钩儿	yishanggouer,ysge
衣裳盟会	yishangmenghui,ysmh
衣裳之会	yishangzhihui,yszh
衣食	yishi,ys
衣食不周	yishibuzhou,ysbz
衣食饭	yishifan,ysf
衣食饭碗	yishifanwan,ysfw
衣食父母	yishifumu,ysfm
衣食节制法	yishijiezhifa,ysjzf
衣食客	yishike,ysk
衣食税租	yishishuizu,yssz
衣食所安	yishisuoan,yssa
衣食无忧	yishiwuyou,yswy
衣食无虞	yishiwuyu,yswy
衣食业	yishiye,ysy
衣食住行	yishizhuxing,yszx
衣饰	yishi,ys
衣绶	yishou,ys
衣书车	yishuche,ysc
衣笥	yisi,ys
衣索比亚	yisuobiya,ysby
衣索比亚界	yisuobiyajie,ysbyj
衣绦	yitao,yt
衣幍	yitao,yt
衣橐	yituo,yt
衣无二彩	yiwuercai,ywec
衣物	yiwu,yw
衣物柜	yiwugui,ywg
衣香鬓影	yixiangbinying,yxby
衣香髻影	yixiangjiying,yxjy
衣香人影	yixiangrenying,yxry
衣箱	yixiang,yx
衣饟	yixiang,yx
衣宵食旰	yixiaoshigan,yxsg
衣薪	yixin,yx
衣绣	yixiu,yx
衣绣夜行	yixiuyexing,yxyx
衣绣夜游	yixiuyeyou,yxyy
衣绣昼行	yixiuzhouxing,yxzx
衣袖	yixiu,yx
衣熏笼	yixunlong,yxl
衣缨	yiying,yy
衣盂	yiyu,yy
衣鱼	yiyu,yy
衣原菌	yiyuanjun,yyj
衣原体	yiyuanti,yyt
衣簪	yizan,yz
衣则成人	yizechengren,yzcr
衣帻	yize,yz
衣章	yizhang,yz
衣折	yishe,ys
衣褶	yizhe,yz
衣着	yizhuo,yz
衣妆楚楚	yizhuangchu,yzc
衣装	yizhuang,yz
衣子	yizi,yz
衣紫腰黄	yiziyaohuang,yzyh
衣紫腰金	yiziyaojin,yzyj
衣紫腰银	yiziyaoyin,yzyy
衣眦	yizi,yz
衣租食税	yizushishui,yzss
