斗鹌鹑	douanchun,dac
斗劲	doujin,dj
斗进	doujin,dj
斗竞	doujing,dj
斗酒	doujiu,dj
斗酒百篇	doujiubaipian,djbp
斗酒飞拳	doujiufeiquan,djfq
斗酒双柑	doujiushuanggan,djsg
斗酒学士	doujiuxueshi,djxs
斗酒只鸡	doujiuzhiji,djzj
斗具	douju,dj
斗聚	douju,dj
斗决	doujue,dj
斗绝	doujue,dj
斗绝一隅	doujueyiyu,djyy
斗君	doujun,dj
斗峻	doujun,dj
斗侃	doukan,dk
斗阚	doukan,dk
斗口	doukou,dk
斗口齿	doukouchi,dkc
斗筐	doukuang,dk
斗魁	doukui,dk
斗姥	doulao,dl
斗力	douli,dl
斗历	douli,dl
斗丽	douli,dl
斗丽争妍	doulizhengyan,dlzy
斗笠	douli,dl
斗詈	douli,dl
斗粮	douliang,dl
斗量	douliang,dl
斗量车载	douliangchezai,dlcz
斗量筲计	douliangshaoji,dlsj
斗六	douliu,dl
斗六市	douliushi,dls
斗龙舟	doulongzhou,dlz
斗拢	doulong,dl
斗楼	doulou,dl
斗镂	doulou,dl
斗禄	doulu,dl
斗乱	douluan,dl
斗锣	douluo,dl
斗买	doumai,dm
斗莽	doumang,dm
斗美夸丽	doumeikuali,dmkl
斗媚争妍	doumeizhengyan,dmzy
斗门	doumen,dm
斗门区	doumenqu,dmq
斗闷子	doumenzi,dmz
斗靡	doumi,dm
斗米尺布	doumichibu,dmcb
斗茗	douming,dm
斗母元君	doumuyuanjun,dmyj
斗姆	doumu,dm
斗目	doumu,dm
斗南	dounan,dn
斗南一人	dounanyiren,dnyr
斗南镇	dounanzhen,dnz
斗内	dounei,dn
斗狞	douning,dn
斗牛	douniu,dn
斗牛场	douniuchang,dnc
斗牛服	douniufu,dnf
斗牛梗	douniugeng,dng
斗牛宫	douniugong,dng
斗牛士	douniushi,dns
斗牛士之歌	douniushizhige,dnszg
斗牛㹴	douniugeng,dng
斗纽	douniu,dn
斗弄	dounong,dn
斗怒	dounu,dn
斗殴	douou,do
斗牌	doupai,dp
斗盆	doupen,dp
斗朋	doupeng,dp
斗篷	doupeng,dp
斗批改	doupigai,dpg
斗辟	doupi,dp
斗僻	doupi,dp
斗谝	doupian,dp
斗品	doupin,dp
斗瓶	douping,dp
斗奇	douqi,dq
斗骑	douqi,dq
斗棊	douqi,dq
斗棋	douqi,dq
斗碁	douqi,dq
斗旗	douqi,dq
斗气	douqi,dq
斗强	douqiang,dq
斗抢	douqiang,dq
斗巧	douqiao,dq
斗巧宴	douqiaoyan,dqy
斗峭	douqiao,dq
斗蛩	douqiong,dq
斗渠	douqu,dq
斗取	douqu,dq
斗趣	douqu,dq
斗趣儿	douquer,dqe
斗拳	douquan,dq
斗雀	douque,dq
斗然	douran,dr
斗人	douren,dr
斗色	douse,ds
斗色争妍	dousezhengyan,dszy
斗杀	dousha,ds
斗山	doushan,ds
斗筲	doushao,ds
斗筲穿窬	doushaochuanyu,dscy
斗筲之材	doushaozhicai,dszc
斗筲之器	doushaozhiqi,dszq
斗筲之人	doushaozhiren,dszr
斗筲子	doushaozi,dsz
斗蛇	doushe,ds
斗舍	doushe,ds
斗升	dousheng,ds
斗升肠	doushengchang,dsc
斗升之水	doushengzhishui,dszs
斗胜	dousheng,ds
斗十胡	doushihu,dsh
斗蚀	doushi,ds
斗食	doushi,ds
斗士	doushi,ds
斗试	doushi,ds
斗室	doushi,ds
斗手	doushou,ds
斗枢	doushu,ds
斗蟀	doushuai,ds
斗霜傲雪	doushuangaoxue,dsax
斗水	doushui,ds
斗水活鳞	doushuihuolin,dshl
斗私批修	dousipixiu,dspx
斗耸	dousong,ds
斗讼	dousong,ds
斗叟	dousou,ds
斗擞	dousou,ds
斗薮	dousou,ds
斗宿	douxiu,dx
斗粟	dousu,ds
斗粟尺布	dousuchibu,dscb
斗笋	dousun,ds
斗榫合缝	dousunhefeng,dshf
斗桶	doutong,dt
斗头	doutou,dt
斗抟	doutuan,dt
斗蛙	douwa,dw
斗碗	douwan,dw
斗腕	douwan,dw
斗围监	douweijian,dwj
斗文	douwen,dw
斗纹	douwen,dw
斗蜗角	douwojiao,dwj
斗舞	douwu,dw
斗锡	douxi,dx
斗嬉	douxi,dx
斗蟋蟀	douxishuai,dxs
斗戏	douxi,dx
斗阋	douxi,dx
斗显	douxian,dx
斗献	douxian,dx
斗香	douxiang,dx
斗象	douxiang,dx
斗嚣	douxiao,dx
斗笑儿	douxiaoer,dxe
斗心	douxin,dx
斗心眼儿	douxinyaner,dxye
斗星	douxing,dx
斗行	douxing,dx
斗形纹	douxingwen,dxw
斗胸	douxiong,dx
斗穴	douxue,dx
斗雪红	douxuehong,dxh
斗鸭	douya,dy
斗牙拌齿	douyabanchi,dybc
斗烟丝	douyansi,dys
斗妍	douyan,dy
斗眼	douyan,dy
斗艳	douyan,dy
斗艳争芳	douyanzhengfang,dyzf
斗艳争辉	douyanzhenghui,dyzh
斗艳争妍	douyanzheng,dyz
斗艶	douyan,dy
斗艶争妍	douyanzheng,dyz
斗叶	douye,dy
斗叶子	douyezi,dyz
斗蚁	douyi,dy
斗挹箕扬	douyijiyang,dyjy
斗意	douyi,dy
斗殷牛	douyinniu,dyn
斗引	douyin,dy
斗饮	douyin,dy
斗印	douyin,dy
斗迎	douying,dy
斗甬	douyong,dy
斗勇	douyong,dy
斗余	douyu,dy
斗鱼	douyu,dy
斗羽	douyu,dy
斗韵	douyun,dy
斗攒	douzan,dz
斗凿	douzao,dz
斗战	douzhan,dz
斗帐	douzhang,dz
斗折	doushe,ds
斗折蛇行	douzheshexing,dzsx
斗阵	douzhen,dz
斗争	douzheng,dz
斗争斗合	douzhenghe,dzh
斗争性	douzhengxing,dzx
斗诤	douzheng,dz
斗纸牌	douzhipai,dzp
斗志	douzhi,dz
斗志昂扬	douzhiangyang,dzay
斗智	douzhi,dz
斗转	douzhuan,dz
斗转参横	douzhuanshenheng,dzsh
斗转星移	douzhuanxingyi,dzxy
斗子	douzi,dz
斗子盐	douziyan,dzy
斗紫	douzi,dz
斗嘴	douzui,dz
斗作	douzuo,dz
