雷阿尔城	leiaercheng,laec
雷塘	leitang,lt
雷鼗	leitao,lt
雷腾	leiteng,lt
雷填	leitian,lt
雷霆	leiting,lt
雷霆电雹	leitingdianbao,ltdb
雷霆火炮	leitinghuopao,lthp
雷霆炮	leitingpao,ltp
雷霆万钧	leitingwanjun,ltwj
雷霆之怒	leitingzhinu,ltzn
雷霆之诛	leitingzhizhu,ltzz
雷同	leitong,lt
雷桐	leitong,lt
雷丸	leiwan,lw
雷文	leiwen,lw
雷纹	leiwen,lw
雷夏	leixia,lx
雷响	leixiang,lx
雷楔	leixie,lx
雷行	leixing,lx
雷呴	leihou,lh
雷芽	leiya,ly
雷亚尔	leiyaer,lye
雷野	leiye,ly
雷音	leiyin,ly
雷殷	leiyin,ly
雷雨	leiyu,ly
雷雨云	leiyuyun,lyy
雷雨作解	leiyuzuojie,lyzj
雷渊	leiyuan,ly
雷辕	leiyuan,ly
雷噪	leizao,lz
雷泽	leize,lz
雷扎耶湖	leizhayehu,lzyh
雷辗	leinian,ln
雷蛰	leizhe,lz
雷阵	leizhen,lz
雷阵雨	leizhenyu,lzy
雷震	leizhen,lz
雷州	leizhou,lz
雷州半岛	leizhoubandao,lzbd
雷州市	leizhoushi,lzs
雷轴	leizhou,lz
雷渚	leizhu,lz
雷杼	leizhu,lz
雷转	leizhuan,lz
雷篆	leizhuan,lz
雷椎	leizhui,lz
雷辎	leizi,lz
雷子	leizi,lz
雷宗	leizong,lz
雷祖	leizu,lz
雷樽	leizun,lz
雷罇	leizun,lz
雷作	leizuo,lz
