立案	lian,la
立契	liqi,lq
立钦钦	liqin,lq
立慬	lijin,lj
立秋	liqiu,lq
立泉	liquan,lq
立券	liquan,lq
立然	liran,lr
立人	liren,lr
立人达人	lirenda,lrd
立人旁	lirenpang,lrp
立绒	lirong,lr
立山区	lishanqu,lsq
立少观多	lishaoguanduo,lsgd
立社	lishe,ls
立射	lishe,ls
立身	lishen,ls
立身处世	lishenchushi,lscs
立身行己	lishenxingji,lsxj
立身扬名	lishenyangming,lsym
立石	lishi,ls
立石起柳	lishiqiliu,lsql
立时	lishi,ls
立时巴刻	lishibake,lsbk
立时三刻	lishisanke,lssk
立士	lishi,ls
立氏立克次体	lishikeciti,lskct
立式	lishi,ls
立事	lishi,ls
立侍	lishi,ls
立适	lishi,ls
立誓	lishi,ls
立说	lishuo,ls
立嗣	lisi,ls
立谈	litan,lt
立谈之间	litanzhijian,ltzj
立陶宛	litaowan,ltw
立陶宛人	litaowanren,ltwr
立体	liti,lt
立体地	litide,ltd
立体电影	litidianying,ltdy
立体电影院	litidianyingyuan,ltdyy
立体感	litigan,ltg
立体几何	litijihe,ltjh
立体交叉	litijiaocha,ltjc
立体角	litijiao,ltj
立体绿化	litiluhua,ltlh
立体派	litipai,ltp
立体摄像机	litishexiangji,ltsxj
立体声	litisheng,lts
立体声地	litishengde,ltsd
立体图	lititu,ltt
立体异构	litiyigou,ltyg
立体异构体	litiyigou,ltyg
立体照片	litizhaopian,ltzp
立王	liwang,lw
立委	liwei,lw
立委选举	liweixuanju,lwxj
立卧撑跳	liwochengtiao,lwct
立下	lixia,lx
立夏	lixia,lx
立贤无方	lixianwufang,lxwf
立限	lixian,lx
立宪	lixian,lx
立项	lixiang,lx
立象	lixiang,lx
立像	lixiang,lx
立效	lixiao,lx
立心	lixin,lx
立新	lixin,lx
立行	lixing,lx
立性	lixing,lx
立学	lixue,lx
立雪	lixue,lx
立勋	lixun,lx
立言	liyan,ly
立业	liye,ly
立业安邦	liyeanbang,lyab
立仪	liyi,ly
立义	liyi,ly
立异	liyi,ly
立邑	liyi,ly
立意	liyi,ly
立有间	liyoujian,lyj
立于	liyu,ly
立于不败之地	liyububaizhidi,lybbzd
立鱼	liyu,ly
立语	liyu,ly
立元	liyuan,ly
立员	liyuan,ly
立院	liyuan,ly
立愿	liyuan,ly
立约	liyue,ly
立约人	liyueren,lyr
立扎	lizha,lz
立仗	lizhang,lz
立仗马	lizhangma,lzm
立挣	lizheng,lz
立正	lizheng,lz
立政	lizheng,lz
立志	lizhi,lz
立制	lizhi,lz
立治	lizhi,lz
立忠	lizhong,lz
立轴	lizhou,lz
立主	lizhu,lz
立柱	lizhu,lz
立锥	lizhui,lz
立锥之地	lizhuizhidi,lzzd
立子	lizi,lz
立足	lizu,lz
立足点	lizudian,lzd
立足之地	lizuzhidi,lzzd
