心爱	xinai,xa
心动	xindong,xd
心动女	xindongnu,xdn
心动图	xindongtu,xdt
心斗	xindou,xd
心毒	xindu,xd
心毒地	xindude,xdd
心毒手辣	xindushoula,xdsl
心度	xindu,xd
心断	xinduan,xd
心多	xinduo,xd
心耳	xiner,xe
心法	xinfa,xf
心烦	xinfan,xf
心烦技痒	xinfanjiyang,xfjy
心烦虑乱	xinfanluluan,xfll
心烦气躁	xinfanqizao,xfqz
心烦意乱	xinfanyiluan,xfyl
心烦意冗	xinfanyirong,xfyr
心房	xinfang,xf
心房颤动	xinfangchandong,xfcd
心非巷议	xinfeixiangyi,xfxy
心扉	xinfei,xf
心肥大	xinfeida,xfd
心肺	xinfei,xf
心肺复苏术	xinfeifusushu,xffss
心肺机	xinfeiji,xfj
心忿	xinfen,xf
心风	xinfeng,xf
心伏	xinfu,xf
心佛	xinfo,xf
心服	xinfu,xf
心服口服	xinfukou,xfk
心服首肯	xinfushouken,xfsk
心浮	xinfu,xf
心浮气粗	xinfuqicu,xfqc
心浮气盛	xinfuqisheng,xfqs
心浮气躁	xinfuqizao,xfqz
心府	xinfu,xf
心腑	xinfu,xf
心腹	xinfu,xf
心腹大患	xinfudahuan,xfdh
心腹之病	xinfuzhibing,xfzb
心腹之患	xinfuzhihuan,xfzh
心腹之疾	xinfuzhiji,xfzj
心腹之交	xinfuzhijiao,xfzj
心腹之忧	xinfuzhiyou,xfzy
心腹重患	xinfuzhonghuan,xfzh
心甘	xingan,xg
心甘情原	xinganqingyuan,xgqy
心甘情愿	xinganqingyuan,xgqy
心肝	xingan,xg
心肝宝贝	xinganbaobei,xgbb
心感	xingan,xg
心高	xingao,xg
心高气傲	xingaoqiao,xgqa
心根	xingen,xg
心梗	xingeng,xg
心垢	xingou,xg
心孤意怯	xinguyiqie,xgyq
心骨	xingu,xg
心关	xinguan,xg
心贯白日	xinguanbairi,xgbr
心光	xinguang,xg
心广体胖	xinguangtipan,xgtp
心海	xinhai,xh
心寒	xinhan,xh
心寒胆落	xinhandanluo,xhdl
心寒胆战	xinhandanzhan,xhdz
心号	xinhao,xh
心黑	xinhei,xh
心佷	xinhen,xh
心很	xinhen,xh
心狠	xinhen,xh
心狠手毒	xinhenshoudu,xhsd
心狠手辣	xinhenshoula,xhsl
心红	xinhong,xh
心喉	xinhou,xh
心花	xinhua,xh
心花怒发	xinhuanufa,xhnf
心花怒放	xinhuanufang,xhnf
心化	xinhua,xh
心画	xinhua,xh
心怀	xinhuai,xh
心怀鬼胎	xinhuaiguitai,xhgt
心怀叵测	xinhuaipoce,xhpc
心怀忐忑	xinhuaitante,xhtt
心怀魏阙	xinhuaiweique,xhwq
心环	xinhuan,xh
心幻	xinhuan,xh
心慌	xinhuang,xh
心慌撩乱	xinhuangliaoluan,xhll
心慌意急	xinhuangyiji,xhyj
心慌意乱	xinhuangyiluan,xhyl
心皇	xinhuang,xh
心灰	xinhui,xh
心灰意败	xinhuiyibai,xhyb
心灰意懒	xinhuiyilan,xhyl
心灰意冷	xinhuiyileng,xhyl
心回意转	xinhuiyizhuan,xhyz
心会	xinhui,xh
心魂	xinhun,xh
心活	xinhuo,xh
心活面软	xinhuomianruan,xhmr
心火	xinhuo,xh
心机	xinji,xj
心肌	xinji,xj
心肌梗塞	xinjigengse,xjgs
心肌梗死	xinjigengsi,xjgs
心肌炎	xinjiyan,xjy
心鞿	xinji,xj
心急	xinji,xj
心急吃不了热豆腐	xinjichibuliaoredoufu,xjcblrdf
心急火燎	xinjihuoliao,xjhl
心急如焚	xinjirufen,xjrf
心急如火	xinjiruhuo,xjrh
心疾	xinji,xj
心几	xinji,xj
心计	xinji,xj
心际	xinji,xj
心迹	xinji,xj
心寄	xinji,xj
心悸	xinji,xj
心尖	xinjian,xj
心尖子	xinjianzi,xjz
心坚石穿	xinjianshichuan,xjsc
心间	xinjian,xj
心茧	xinjian,xj
心匠	xinjiang,xj
心降	xinjiang,xj
心交	xinjiao,xj
心焦	xinjiao,xj
心焦火燎	xinjiaohuoliao,xjhl
心焦如焚	xinjiaorufen,xjrf
心焦如火	xinjiaoruhuo,xjrh
心绞痛	xinjiaotong,xjt
心结	xinjie,xj
心解	xinjie,xj
心戒	xinjie,xj
心界	xinjie,xj
心襟	xinjin,xj
心劲	xinjin,xj
心经	xinjing,xj
心惊	xinjing,xj
心惊胆颤	xinjingdanzhan,xjdz
心惊胆寒	xinjingdanhan,xjdh
心惊胆裂	xinjingdanlie,xjdl
心惊胆落	xinjingdanluo,xjdl
心惊胆战	xinjingdanzhan,xjdz
心惊肉跳	xinjingroutiao,xjrt
心惊肉战	xinjingrouzhan,xjrz
心旌	xinjing,xj
心旌摇摇	xinjingyao,xjy
心旌摇曳	xinjingyaoye,xjyy
心精	xinjing,xj
心景	xinjing,xj
心净	xinjing,xj
心竞	xinjing,xj
心境	xinjing,xj
心静	xinjing,xj
心静自然凉	xinjingziranliang,xjzrl
心镜	xinjing,xj
心疚	xinjiu,xj
心趄	xinju,xj
心诀	xinjue,xj
心君	xinjun,xj
心开	xinkai,xk
心开目明	xinkaimuming,xkmm
心坎	xinkan,xk
心肯	xinken,xk
心空	xinkong,xk
心孔	xinkong,xk
心口	xinkou,xk
心口不一	xinkoubuyi,xkby
心口如一	xinkouruyi,xkry
心口相应	xinkouxiangying,xkxy
心宽	xinkuan,xk
心宽体胖	xinkuantipan,xktp
心款	xinkuan,xk
心旷神飞	xinkuangshenfei,xksf
心旷神恬	xinkuangshentian,xkst
心旷神怡	xinkuangshenyi,xksy
心旷神愉	xinkuangshenyu,xksy
心亏	xinkui,xk
心困	xinkun,xk
心辣手狠	xinlashouhen,xlsh
心懒	xinlan,xl
心劳计绌	xinlaojichu,xljc
心劳日拙	xinlaorizhuo,xlrz
心劳意攘	xinlaoyirang,xlyr
心劳意冗	xinlaoyirong,xlyr
心里	xinli,xl
心里成灰	xinlichenghui,xlch
心里打鼓	xinlidagu,xldg
心里陡地	xinlidoude,xldd
心里话	xinlihua,xlh
心里美萝卜	xinlimeiluobo,xlmlb
心里痒痒	xinliyang,xly
心里有鬼	xinliyougui,xlyg
心里有谱	xinliyoupu,xlyp
心里有数	xinliyoushu,xlys
心理	xinli,xl
心理词典	xinlicidian,xlcd
心理地	xinlide,xld
心理防线	xinlifangxian,xlfx
心理分析	xinlifenxi,xlfx
心理剧	xinliju,xlj
心理上地	xinlishangde,xlsd
心理统计学	xinlitongjixue,xltjx
心理学	xinlixue,xlx
心理学地	xinlixuede,xlxd
心理学家	xinlixuejia,xlxj
心理医生	xinliyisheng,xlys
心理战	xinlizhan,xlz
心理作用	xinlizuoyong,xlzy
心力	xinli,xl
心力交瘁	xinlijiaocui,xljc
心力衰竭	xinlishuaijie,xlsj
心连心	xinlian,xl
心莲	xinlian,xl
心量	xinliang,xl
心灵	xinling,xl
心灵感应	xinlingganying,xlgy
心灵鸡汤	xinlingjitang,xljt
心灵上	xinlingshang,xls
心灵手巧	xinlingshouqiao,xlsq
心灵性巧	xinlingxingqiao,xlxq
心领	xinling,xl
心领神会	xinlingshenhui,xlsh
心领神悟	xinlingshenwu,xlsw
心领意会	xinlingyihui,xlyh
心流	xinliu,xl
心路	xinlu,xl
心吕	xinlu,xl
心膂	xinlu,xl
心膂股肱	xinlugugong,xlgg
心律	xinlu,xl
心律不齐	xinlubuqi,xlbq
心律不整	xinlubuzheng,xlbz
心律失常	xinlushichang,xlsc
心虑	xinlu,xl
心率	xinlu,xl
心乱如麻	xinluanruma,xlrm
心略	xinlue,xl
心轮	xinlun,xl
心马	xinma,xm
心脉	xinmai,xm
心满意得	xinmanyide,xmyd
心满意足	xinmanyizu,xmyz
心满意足地看	xinmanyizudekan,xmyzdk
心满原足	xinmanyuanzu,xmyz
心满愿足	xinmanyuanzu,xmyz
心慢	xinman,xm
心忙	xinmang,xm
心忙意急	xinmangyiji,xmyj
心忙意乱	xinmangyiluan,xmyl
心盟	xinmeng,xm
心密	xinmi,xm
心苗	xinmiao,xm
心明眼亮	xinmingyanliang,xmyl
心摹手追	xinmoshouzhui,xmsz
心目	xinmu,xm
心目中	xinmuzhong,xmz
心慕手追	xinmushouzhui,xmsz
心念	xinnian,xn
心凝	xinning,xn
心凝形释	xinningxingshi,xnxs
心诺	xinnuo,xn
心斾	xinpei,xp
心怦怦跳	xinpengtiao,xpt
心砰砰跳	xinpengtiao,xpt
心皮	xinpi,xp
心脾	xinpi,xp
心平	xinping,xp
心平气定	xinpingqiding,xpqd
心平气和	xinpingqihe,xpqh
心魄	xinpo,xp
心期	xinqi,xq
心气	xinqi,xq
心契	xinqi,xq
心虔志诚	xinqianzhicheng,xqzc
心歉歉地	xinqiande,xqd
心乔意怯	xinqiaoyiqie,xqyq
心巧嘴乖	xinqiaozuiguai,xqzg
心窍	xinqiao,xq
心切	xinqie,xq
心怯	xinqie,xq
心琴	xinqin,xq
心倾	xinqing,xq
心情	xinqing,xq
心情地流淌	xinqingdeliutang,xqdlt
心情舒畅	xinqingshuchang,xqsc
心曲	xinqu,xq
心去难留	xinqunanliu,xqnl
心趣	xinqu,xq
心泉	xinquan,xq
心热	xinre,xr
心如刀剉	xinrudaoying,xrdy
心如刀锉	xinrudaocuo,xrdc
心如刀割	xinrudaoge,xrdg
心如刀绞	xinrudaojiao,xrdj
心如刀搅	xinrudaojiao,xrdj
心如刀锯	xinrudaoju,xrdj
心如槁木	xinrugaomu,xrgm
心如古井	xinrugujing,xrgj
心如寒灰	xinruhanhui,xrhh
心如火焚	xinruhuofen,xrhf
心如坚石	xinrujianshi,xrjs
心如金石	xinrujinshi,xrjs
心如木石	xinrumushi,xrms
心如死灰	xinrusihui,xrsh
心如铁石	xinrutieshi,xrts
心如悬旌	xinruxuanjing,xrxj
心如止水	xinruzhishui,xrzs
心软	xinruan,xr
心若	xinruo,xr
心若死灰	xinruosihui,xrsh
心塞	xinsai,xs
心散	xinsan,xs
心丧	xinsang,xs
心善	xinshan,xs
心伤	xinshang,xs
心赏	xinshang,xs
心上	xinshang,xs
心上人	xinshangren,xsr
心上心下	xinshangxia,xsx
心尚	xinshang,xs
心身疾病	xinshenjibing,xsjb
心神	xinshen,xs
心神不安	xinshenbuan,xsba
心神不定	xinshenbuding,xsbd
心神不宁	xinshenbuning,xsbn
心神不属	xinshenbuzhu,xsbz
心神恍惚	xinshenhuanghu,xshh
心神专注	xinshenzhuanzhu,xszz
心声	xinsheng,xs
心盛	xinsheng,xs
心师	xinshi,xs
心识	xinshi,xs
心实	xinshi,xs
心事	xinshi,xs
心事重重	xinshichong,xsc
心室	xinshi,xs
心室颤动	xinshichandong,xscd
心誓	xinshi,xs
心手相忘	xinshouxiangwang,xsxw
心手相应	xinshouxiangying,xsxy
心术	xinshu,xs
心术不端	xinshubuduan,xsbd
心术不正	xinshubuzheng,xsbz
心树	xinshu,xs
心数	xinshu,xs
心衰	xinshuai,xs
心水	xinshui,xs
心顺	xinshun,xs
心思	xinsi,xs
心死	xinsi,xs
心忪	xinsong,xs
心素	xinsu,xs
心宿	xinsu,xs
心宿二	xinxiuer,xxe
心愫	xinsu,xs
心酸	xinsuan,xs
心算	xinsuan,xs
心髓	xinsui,xs
心碎	xinsui,xs
心所	xinsuo,xs
心台	xintai,xt
心态	xintai,xt
心堂	xintang,xt
心疼	xinteng,xt
心疼地	xintengde,xtd
心体	xinti,xt
心田	xintian,xt
心甜	xintian,xt
心跳	xintiao,xt
心跳过缓	xintiaoguohuan,xtgh
心铁	xintie,xt
心同此理	xintongcili,xtcl
心同止水	xintongzhishui,xtzs
心痛	xintong,xt
心痛地说	xintongdeshuo,xtds
心头	xintou,xt
心头鹿撞	xintouluzhuang,xtlz
心头肉	xintourou,xtr
心头撞鹿	xintouzhuanglu,xtzl
心涂	xintu,xt
心土	xintu,xt
心王	xinwang,xw
心往	xinwang,xw
心往神驰	xinwangshenchi,xwsc
心违	xinwei,xw
心稳	xinwen,xw
心窝	xinwo,xw
心窝儿	xinwoer,xwe
心无二用	xinwueryong,xwey
心无挂碍	xinwuguaiai,xwga
心无旁骛	xinwupang,xwp
心息	xinxi,xx
心犀	xinxi,xx
心系	xinxi,xx
心细	xinxi,xx
心细如发	xinxirufa,xxrf
心细于发	xinxiyufa,xxyf
心下	xinxia,xx
心忺	xinxian,xx
心闲手敏	xinxianshoumin,xxsm
心弦	xinxian,xx
心衔	xinxian,xx
心羡	xinxian,xx
心乡往之	xinxiangwangzhi,xxwz
心相	xinxiang,xx
心香	xinxiang,xx
心想	xinxiang,xx
心想事成	xinxiangshicheng,xxsc
心向往之	xinxiangwangzhi,xxwz
心象	xinxiang,xx
心小志大	xinxiaozhida,xxzd
心邪	xinxie,xx
心胁	xinxie,xx
心斜	xinxie,xx
心心	xin,x
心心念念	xinnian,xn
心心相连	xinxianglian,xxl
心心相印	xinxiangyin,xxy
心星	xinxing,xx
心行	xinxing,xx
心形	xinxing,xx
心兴	xinxing,xx
心性	xinxing,xx
心性之学	xinxingzhixue,xxzx
心胸	xinxiong,xx
心胸开阔	xinxiongkaikuo,xxkk
心胸狭隘	xinxiongxiaai,xxxa
心胸狭窄	xinxiongxiazhai,xxxz
心雄万夫	xinxiongwanfu,xxwf
心休	xinxiu,xx
心秀	xinxiu,xx
心虚	xinxu,xx
心虚地说	xinxudeshuo,xxds
心许	xinxu,xx
心绪	xinxu,xx
心绪不佳	xinxubujia,xxbj
心绪不宁	xinxubuning,xxbn
心绪恍惚	xinxuhuanghu,xxhh
心绪如麻	xinxuruma,xxrm
心悬魏阙	xinxuanweique,xxwq
心学	xinxue,xx
心血	xinxue,xx
心血管	xinxueguan,xxg
心血管疾病	xinxueguanjibing,xxgjb
心血来潮	xinxuelaichao,xxlc
心芽	xinya,xy
心颜	xinyan,xy
心眼	xinyan,xy
心眼大	xinyanda,xyd
心眼多	xinyanduo,xyd
心眼儿	xinyaner,xye
心眼好	xinyanhao,xyh
心眼小	xinyanxiao,xyx
心豓	xinyan,xy
心痒	xinyang,xy
心痒难挠	xinyangnannao,xynn
心痒难揉	xinyangnanrou,xynr
心痒难挝	xinyangnanzhua,xynz
心痒难抓	xinyangnanzhua,xynz
心恙	xinyang,xy
心药	xinyao,xy
心要	xinyao,xy
心叶椴	xinyeduan,xyd
心仪	xinyi,xy
心怡神旷	xinyishenkuang,xysk
心疑	xinyi,xy
心义	xinyi,xy
心亿	xinyi,xy
心唈	xinyi,xy
心逸日休	xinyirixiu,xyrx
心意	xinyi,xy
心臆	xinyi,xy
心音	xinyin,xy
心印	xinyin,xy
心影	xinying,xy
心影儿	xinyinger,xye
心硬	xinying,xy
心慵	xinyong,xy
心慵意懒	xinyongyilan,xyyl
心用	xinyong,xy
心友	xinyou,xy
心有灵犀一点通	xinyoulingxiyidiantong,xylxydt
心有余而力不足	xinyouyuerlibuzu,xyyelbz
心有余悸	xinyouyuji,xyyj
心余力绌	xinyulichu,xylc
心与	xinyu,xy
心语	xinyu,xy
心员	xinyuan,xy
心源	xinyuan,xy
心猿	xinyuan,xy
心猿意马	xinyuanyima,xyym
心远	xinyuan,xy
心愿	xinyuan,xy
心愿单	xinyuandan,xyd
心月	xinyue,xy
心悦诚服	xinyuechengfu,xycf
心悦神怡	xinyueshenyi,xysy
心允	xinyun,xy
心殒胆落	xinyundanluo,xydl
心殒胆破	xinyundanpo,xydp
心杂音	xinzayin,xzy
心在魏阙	xinzaiweique,xzwq
心脏	xinzang,xz
心脏病	xinzangbing,xzb
心脏搭桥手术	xinzangdaqiaoshoushu,xzdqss
心脏疾患	xinzangjihuan,xzjh
心脏收缩压	xinzangshousuoya,xzssy
心脏舒张压	xinzangshuzhangya,xzszy
心脏移殖	xinzangyizhi,xzyz
心脏杂音	xinzangzayin,xzzy
心脏骤停	xinzangzhouting,xzzt
心造	xinzao,xz
心斋	xinzhai,xz
心窄	xinzhai,xz
心瞻魏阙	xinzhanweique,xzwq
心战	xinzhan,xz
心长发短	xinchangfaduan,xcfd
心长绠短	xinchanggengduan,xcgd
心长力短	xinchangliduan,xcld
心招	xinzhao,xz
心照	xinzhao,xz
心照不宣	xinzhaobuxuan,xzbx
心照不宣地	xinzhaobuxuande,xzbxd
心照情交	xinzhaoqingjiao,xzqj
心照神交	xinzhaoshenjiao,xzsj
心折	xinzhe,xz
心阵	xinzhen,xz
心正	xinzheng,xz
心证	xinzheng,xz
心之官则思	xinzhiguanzesi,xzgzs
心知	xinzhi,xz
心知肚明	xinzhiduming,xzdm
心知其意	xinzhiqiyi,xzqy
心织笔耕	xinzhibigeng,xzbg
心直口快	xinzhikoukuai,xzkk
心直嘴快	xinzhizuikuai,xzzk
心志	xinzhi,xz
心制	xinzhi,xz
心治	xinzhi,xz
心质	xinzhi,xz
心智	xinzhi,xz
心智图	xinzhitu,xzt
心中	xinzhong,xz
心中偷偷地	xinzhongtoude,xztd
心中无数	xinzhongwushu,xzws
心中一懔	xinzhongyilin,xzyl
心中有鬼	xinzhongyougui,xzyg
心中有数	xinzhongyoushu,xzys
心重	xinzhong,xz
心轴	xinzhou,xz
心咒	xinzhou,xz
心珠	xinzhu,xz
心专	xinzhuan,xz
心拙口笨	xinzhuokouben,xzkb
心拙口夯	xinzhuokouben,xzkb
心子	xinzi,xz
心字	xinzi,xz
心字香	xinzixiang,xzx
心宗	xinzong,xz
心醉	xinzui,xz
心醉魂迷	xinzuihunmi,xzhm
心醉神迷	xinzuishenmi,xzsm
