李安	lian,la
李劼人	lijieren,ljr
李靖	lijing,lj
李俊	lijun,lj
李开复	likaifu,lkf
李克强	likeqiang,lkq
李悝	likui,lk
李逵	likui,lk
李岚清	lilanqing,llq
李老	lilao,ll
李丽珊	lishan,ls
李连杰	lilianjie,llj
李林甫	lilinfu,llf
李陵	liling,ll
李陵台	lilingtai,llt
李隆基	lilongji,llj
李绿园	liluyuan,lly
李猫	limao,lm
李门	limen,lm
李敏勇	liminyong,lmy
李明博	limingbo,lmb
李摩云	limoyun,lmy
李墨	limo,lm
李木	limu,lm
李娜	lina,ln
李宁	lining,ln
李鹏	lipeng,lp
李轻车	liqingche,lqc
李清照	liqingzhao,lqz
李群	liqun,lq
李仁堂	lirentang,lrt
李汝珍	liruzhen,lrz
李瑞环	liruihuan,lrh
李善兰	lishanlan,lsl
李商隐	lishangyin,lsy
李师师	lishi,ls
李诗谢赋	lishixiefu,lsxf
李十二	lishier,lse
李十郎	lishilang,lsl
李时珍	lishizhen,lsz
李氏	lishi,ls
李氏朝鲜	lishichaoxian,lscx
李氏千头奴	lishiqiantounu,lsqtn
李世民	lishimin,lsm
李适	likuo,lk
李书楼	lishulou,lsl
李叔同	lishutong,lst
李树	lishu,ls
李舜臣	lishunchen,lsc
李斯	lisi,ls
李斯狗枷	lisigoujia,lsgj
李斯特	lisite,lst
李斯特菌	lisitejun,lstj
李斯特氏杆菌	lisiteshiganjun,lstsgj
李斯特氏菌	lisiteshijun,lstsj
李四	lisi,ls
李四光	lisiguang,lsg
李诵	lisong,ls
李叟	lisou,ls
李唐	litang,lt
李桃	litao,lt
李天禄	litianlu,ltl
李天王	litianwang,ltw
李天下	litianxia,ltx
李铁	litie,lt
李铁拐	litieguai,ltg
李廷珪墨	litingguimo,ltgm
李土鼓	litugu,ltg
李托塔	lituota,ltt
李娃传	liwazhuan,lwz
李王	liwang,lw
李维	liwei,lw
李维史陀	liweishituo,lwst
李维斯	liweisi,lws
李卫公	liweigong,lwg
李玟	liwen,lw
李希霍芬	lixihuofen,lxhf
李下	lixia,lx
李下不整冠	lixiabuzhengguan,lxbzg
李下不正冠	lixiabuzhengguan,lxbzg
李下瓜田	lixiaguatian,lxgt
李下无蹊	lixiawuqi,lxwq
李仙	lixian,lx
李先念	lixiannian,lxn
李显龙	lixianlong,lxl
李香君	lixiangjun,lxj
李小龙	lixiaolong,lxl
李谢	lixie,lx
李修贤	lixiuxian,lxx
李儇	lixuan,lx
李雪健	lixuejian,lxj
李恂被	lixunbei,lxb
李鸦儿	liyaer,lye
李亚鹏	liyapeng,lyp
李延寿	liyanshou,lys
李彦宏	liyanhong,lyh
李阳	liyang,ly
李冶	liye,ly
李晔	liye,ly
李益疾	liyiji,lyj
李英儒	liyingru,lyr
李缨	liying,ly
李膺杯	liyingbei,lyb
李膺客	liyingke,lyk
李膺门	liyingmen,lym
李膺门馆	liyingmenguan,lymg
李膺仙	liyingxian,lyx
李膺舟	liyingzhou,lyz
李邕	liyong,ly
李有才板话	liyoucaibanhua,lycbh
李渔	liyu,ly
李宇春	liyuchun,lyc
李煜	liyu,ly
李豫	liyu,ly
李渊	liyuan,ly
李元昊	liyuanhao,lyh
李园	liyuan,ly
李源潮	liyuanchao,lyc
李远哲	liyuanzhe,lyz
李约瑟	liyuese,lys
李云娜	liyunna,lyn
李泽楷	lizekai,lzk
李湛	lizhan,lz
李长春	lichangchun,lcc
李肇	lizhao,lz
李肇星	lizhaoxing,lzx
李哲	lizhe,lz
李振藩	lizhenfan,lzf
李政道	lizhengdao,lzd
李直夫	lizhifu,lzf
李治	lizhi,lz
李贽	lizhi,lz
李重茂	lichongmao,lcm
李祝	lizhu,lz
李锥	lizhui,lz
李子	lizi,lz
李自成	lizicheng,lzc
李宗仁	lizongren,lzr
李宗盛	lizongsheng,lzs
