分义	fenyi,fy
分议	fenyi,fy
分异	fenyi,fy
分役	fenyi,fy
分诣	fenyi,fy
分意	fenyi,fy
分阴	fenyin,fy
分音	fenyin,fy
分音符	fenyinfu,fyf
分吟	fenyin,fy
分赢	fenying,fy
分忧	fenyou,fy
分猷	fenyou,fy
分宥	fenyou,fy
分与	fenyu,fy
分域	fenyu,fy
分燠嘘寒	fenyuxuhan,fyxh
分缘	fenyuan,fy
分院	fenyuan,fy
分愿	fenyuan,fy
分纭	fenyun,fy
分韵	fenyun,fy
分赃	fenzang,fz
分灶吃饭	fenzaochifan,fzcf
分则	fenze,fz
分宅	fenzhai,fz
分站	fenzhan,fz
分张	fenzhang,fz
分章析句	fenzhangxiju,fzxj
分掌	fenzhang,fz
分账	fenzhang,fz
分磔	fenzhe,fz
分辙	fenzhe,fz
分针	fenzhen,fz
分争	fenzheng,fz
分证	fenzheng,fz
分之	fenzhi,fz
分支	fenzhi,fz
分支分配器	fenzhipeiqi,fzpq
分支帐	fenzhizhang,fzz
分枝	fenzhi,fz
分直	fenzhi,fz
分值	fenzhi,fz
分职	fenzhi,fz
分至	fenzhi,fz
分至点	fenzhidian,fzd
分治	fenzhi,fz
分置	fenzhi,fz
分中	fenzhong,fz
分钟	fenzhong,fz
分重	fenzhong,fz
分株	fenzhu,fz
分铢	fenzhu,fz
分竹	fenzhu,fz
分装	fenzhuang,fz
分装机	fenzhuangji,fzj
分赀	fenzi,fz
分资	fenzi,fz
分子	fenzi,fz
分子和分母	fenzihemu,fzhm
分子化合物	fenzihuahewu,fzhhw
分子结构	fenzijiegou,fzjg
分子結構	fenzijiegou,fzjg
分子晶体	fenzijingti,fzjt
分子晶體	fenzijingti,fzjt
分子力	fenzili,fzl
分子量	fenziliang,fzl
分子料理	fenziliaoli,fzll
分子筛	fenzishai,fzs
分子生物学	fenzishengwuxue,fzswx
分子生物學	fenzishengwuxue,fzswx
分子式	fenzishi,fzs
分子物理学	fenziwulixue,fzwlx
分子医学	fenziyixue,fzyx
分子遗传学	fenziyichuanxue,fzycx
分子运动论	fenziyundonglun,fzydl
分子杂交	fenzizajiao,fzzj
分子钟	fenzizhong,fzz
分总	fenzong,fz
分租	fenzu,fz
分族	fenzu,fz
分组	fenzu,fz
分组交换	fenzujiaohuan,fzjh
分胙	fenzuo,fz
分座	fenzuo,fz
