回鞍	huian,ha
回返	huifan,hf
回访	huifang,hf
回放	huifang,hf
回风	huifeng,hf
回峯	huifeng,hf
回奉	huifeng,hf
回敷	huifu,hf
回伏	huifu,hf
回洑	huifu,hf
回复	huifu,hf
回覆	huifu,hf
回改	huigai,hg
回甘	huigan,hg
回干就湿	huiganjiushi,hgjs
回冈	huigang,hg
回告	huigao,hg
回戈	huige,hg
回歌	huige,hg
回购	huigou,hg
回鹘	huihu,hh
回鹘豆	huihudou,hhd
回鹘文	huihuwen,hhw
回顾	huigu,hg
回顾地	huigude,hgd
回顾历史	huigulishi,hgls
回顾展	huiguzhan,hgz
回观	huiguan,hg
回光	huiguang,hg
回光反照	huiguangfanzhao,hgfz
回光返照	huiguangfanzhao,hgfz
回光镜	huiguangjing,hgj
回归	huigui,hg
回归年	huiguinian,hgn
回归热	huiguire,hgr
回归线	huiguixian,hgx
回皈	huigui,hg
回轨	huigui,hg
回滚	huigun,hg
回锅	huiguo,hg
回锅肉	huiguorou,hgr
回锅油	huiguoyou,hgy
回国	huiguo,hg
回过头来	huiguotoulai,hgtl
回还	huihuan,hh
回含	huihan,hh
回函	huihan,hh
回航	huihang,hh
回耗	huihao,hh
回合	huihe,hh
回合制	huihezhi,hhz
回纥	huihe,hh
回和	huihe,hh
回壑	huihe,hh
回衡	huiheng,hh
回互	huihu,hh
回护	huihu,hh
回话	huihua,hh
回环	huihuan,hh
回换	huihuan,hh
回皇	huihuang,hh
回黄转绿	huihuangzhuanlu,hhzl
回黄转緑	huihuangzhuanlu,hhzl
回徨	huihuang,hh
回惶	huihuang,hh
回遑	huihuang,hh
回回	hui,h
回回鼻	huibi,hb
回回豆	huidou,hd
回回青	huiqing,hq
回火	huihuo,hh
回惑	huihuo,hh
回击	huiji,hj
回极	huiji,hj
回忌	huiji,hj
回迹	huiji,hj
回家	huijia,hj
回家吃自己	huijiachiziji,hjczj
回家心切	huijiaxinqie,hjxq
回驾	huijia,hj
回简	huijian,hj
回见	huijian,hj
回江	huijiang,hj
回疆	huijiang,hj
回交	huijiao,hj
回教	huijiao,hj
回教徒	huijiaotu,hjt
回节	huijie,hj
回金	huijin,hj
回京	huijing,hj
回旌	huijing,hj
回睛	huijing,hj
回景	huijing,hj
回敬	huijing,hj
回扃	huijiong,hj
回九	huijiu,hj
回眷	huijuan,hj
回睠	huijuan,hj
回决	huijue,hj
回泬	huijue,hj
回绝	huijue,hj
回军	huijun,hj
回槛	huikan,hk
回瞰	huikan,hk
回空	huikong,hk
回口	huikou,hk
回扣	huikou,hk
回款	huikuan,hk
回馈	huikui,hk
回来	huilai,hl
回濑	huilai,hl
回栏	huilan,hl
回阑	huilan,hl
回澜	huilan,hl
回廊	huilang,hl
回老	huilao,hl
回老家	huilaojia,hlj
回乐峯	huilefeng,hlf
回乐峰	huilefeng,hlf
回礼	huili,hl
回力球	huiliqiu,hlq
回历	huili,hl
回连	huilian,hl
回脸	huilian,hl
回良玉	huiliangyu,hly
回梁	huiliang,hl
回缭	huiliao,hl
回铃音	huilingyin,hly
回舲	huiling,hl
回流	huiliu,hl
回龙汤	huilongtang,hlt
回笼	huilong,hl
回炉	huilu,hl
回炉复帐	huilufuzhang,hlfz
回舻	huilu,hl
回陆	huilu,hl
回禄	huilu,hl
回禄之灾	huiluzhizai,hlzz
回路	huilu,hl
回虑	huilu,hl
回鸾	huiluan,hl
回鸾舞	huiluanwu,hlw
回銮	huiluan,hl
回乱	huiluan,hl
回略	huilue,hl
回轮	huilun,hl
回落	huiluo,hl
回马	huima,hm
回马枪	huimaqiang,hmq
回门	huimen,hm
回缅	huimian,hm
回面	huimian,hm
回描	huimiao,hm
回民	huimin,hm
回民区	huiminqu,hmq
回墨印	huimoyin,hmy
回眸	huimou,hm
回眸一笑	huimouyixiao,hmyx
回目	huimu,hm
回纳	huina,hn
回挠	huinao,hn
回逆	huini,hn
回睨	huini,hn
回念	huinian,hn
回娘家	huiniangjia,hnj
回佞	huining,hn
回暖	huinuan,hn
回盘	huipan,hp
回盼	huipan,hp
回畔	huipan,hp
回斾	huipei,hp
回旆	huipei,hp
回辔	huipei,hp
回辟	huipi,hp
回飘	huipiao,hp
回屏	huiping,hp
回蹊	huiqi,hq
回棋	huiqi,hq
回旗	huiqi,hq
回阡	huiqian,hq
回迁	huiqian,hq
回樯	huiqiang,hq
回桥	huiqiao,hq
回巧	huiqiao,hq
回青	huiqing,hq
回请	huiqing,hq
回曲	huiqu,hq
回屈	huiqu,hq
回去	huiqu,hq
回觑	huiqu,hq
回却	huique,hq
回桡	huirao,hr
回绕	huirao,hr
回热	huire,hr
回日	huiri,hr
回容	huirong,hr
回软	huiruan,hr
回扫	huisao,hs
回沙	huisha,hs
回煞	huisha,hs
回山倒海	huishandaohai,hsdh
回山转海	huishanzhuanhai,hszh
回闪	huishan,hs
回身	huishen,hs
回神	huishen,hs
回沈	huishen,hs
回升	huisheng,hs
回生	huisheng,hs
回生起死	huishengqisi,hsqs
回声	huisheng,hs
回声定位	huishengdingwei,hsdw
回师	huishi,hs
回施	huishi,hs
回事	huishi,hs
回视	huishi,hs
回轼	huishi,hs
回逝	huishi,hs
回收	huishou,hs
回手	huishou,hs
回首	huishou,hs
回授	huishou,hs
回书	huishu,hs
回舒	huishu,hs
回赎	huishu,hs
回述	huishu,hs
回数	huishu,hs
回霜收电	huishuangshoudian,hssd
回水	huishui,hs
回说	huishuo,hs
回思	huisi,hs
回苏	huisu,hs
回溯	huisu,hs
回滩	huitan,ht
回塘	huitang,ht
回慝	huite,ht
回天	huitian,ht
回天倒日	huitiandaori,htdr
回天乏术	huitianfashu,htfs
回天挽日	huitianwanri,htwr
回天无力	huitianwuli,htwl
回天运斗	huitianyundou,htyd
回天之力	huitianzhili,htzl
回天转地	huitianzhuandi,htzd
回甜	huitian,ht
回填	huitian,ht
回条	huitiao,ht
回眺	huitiao,ht
回帖	huitie,ht
回汀	huiting,ht
回头	huitou,ht
回头见	huitoujian,htj
回头客	huitouke,htk
回头路	huitoulu,htl
回头率	huitoulu,htl
回头人	huitouren,htr
回头是岸	huitoushian,htsa
回图	huitu,ht
回图使	huitushi,hts
回涂	huitu,ht
回吐	huitu,ht
回湍	huituan,ht
回隤	huitui,ht
回退	huitui,ht
回讬	huituo,ht
回托	huituo,ht
回弯	huiwan,hw
回枉	huiwang,hw
回罔	huiwang,hw
回望	huiwang,hw
回味	huiwei,hw
回味无穷	huiweiwuqiong,hwwq
回文	huiwen,hw
回文机	huiwenji,hwj
回文锦	huiwenjin,hwj
回文诗	huiwenshi,hws
回文印	huiwenyin,hwy
回文织锦	huiwenzhijin,hwzj
回纹	huiwen,hw
回纹机	huiwenji,hwj
回纹诗	huiwenshi,hws
回纹针	huiwenzhen,hwz
回斡	huiwo,hw
回舞	huiwu,hw
回儛	huiwu,hw
回溪	huixi,hx
回溪阪	huixiban,hxb
回席	huixi,hx
回戏	huixi,hx
回盻	huixi,hx
回辖	huixia,hx
回乡	huixiang,hx
回翔	huixiang,hx
回响	huixiang,hx
回想	huixiang,hx
回向	huixiang,hx
回向文	huixiangwen,hxw
回销	huixiao,hx
回邪	huixie,hx
回邪入正	huixieruzheng,hxrz
回衺	huixie,hx
回斜	huixie,hx
回心	huixin,hx
回心院	huixinyuan,hxy
回心转意	huixinzhuanyi,hxzy
回信	huixin,hx
回信地址	huixindizhi,hxdz
回星	huixing,hx
回行	huixing,hx
回形针	huixingzhen,hxz
回修	huixiu,hx
回许豆	huixudou,hxd
回叙	huixu,hx
回轩	huixuan,hx
回旋	huixuan,hx
回旋地飞	huixuandefei,hxdf
回旋加速器	huixuanjiasuqi,hxjsq
回旋曲	huixuanqu,hxq
回旋余地	huixuanyudi,hxyd
回漩	huixuan,hx
回穴	huixue,hx
回雪	huixue,hx
回崖	huiya,hy
回延	huiyan,hy
回言	huiyan,hy
回岩	huiyan,hy
回颜	huiyan,hy
回眼	huiyan,hy
回雁峯	huiyanfeng,hyf
回雁峰	huiyanfeng,hyf
回阳	huiyang,hy
回腰	huiyao,hy
回漪	huiyi,hy
回移	huiyi,hy
回疑	huiyi,hy
回忆	huiyi,hy
回忆地	huiyide,hyd
回忆录	huiyilu,hyl
回忆録	huiyilu,hyl
回异	huiyi,hy
回易	huiyi,hy
回意	huiyi,hy
回翼	huiyi,hy
回音	huiyin,hy
回音壁	huiyinbi,hyb
回隐	huiyin,hy
回应	huiying,hy
回萦	huiying,hy
回映	huiying,hy
回佣	huiyong,hy
回邮信封	huiyouxinfeng,hyxf
回游	huiyou,hy
回纡	huiyu,hy
回迂	huiyu,hy
回鱼筯	huiyuzhu,hyz
回鱼箸	huiyuzhu,hyz
回舆	huiyu,hy
回语	huiyu,hy
回潏	huijue,hj
回遹	huiyu,hy
回渊	huiyuan,hy
回员	huiyuan,hy
回圆	huiyuan,hy
回源	huiyuan,hy
回远	huiyuan,hy
回云	huiyun,hy
回运	huiyun,hy
回匝	huiza,hz
回攒	huizan,hz
回赠	huizeng,hz
回邅	huizhan,hz
回瞻	huizhan,hz
回涨	huizhang,hz
回掌	huizhang,hz
回棹	huizhao,hz
回照	huizhao,hz
回折	huizhe,hz
回折格子	huizhegezi,hzgz
回轸	huizhen,hz
回知	huizhi,hz
回执	huizhi,hz
回执单	huizhidan,hzd
回植	huizhi,hz
回指	huizhi,hz
回中	huizhong,hz
回重	huizhong,hz
回舟	huizhou,hz
回舟兴	huizhouxing,hzx
回周	huizhou,hz
回骤	huizhou,hz
回注	huizhu,hz
回祝	huizhu,hz
回转	huizhuan,hz
回转寿司	huizhuanshousi,hzss
回椎	huizhui,hz
回纵	huizong,hz
回族	huizu,hz
回族人	huizuren,hzr
回嘴	huizui,hz
