吃案	chian,ca
吃洴	chiping,cp
吃枪药	chiqiangyao,cqy
吃枪子	chiqiangzi,cqz
吃敲才	chiqiaocai,cqc
吃敲材	chiqiaocai,cqc
吃敲贼	chiqiaozei,cqz
吃乔	chiqiao,cq
吃巧	chiqiao,cq
吃青	chiqing,cq
吃青春饭	chiqingchunfan,cqcf
吃请	chiqing,cq
吃屈	chiqu,cq
吃拳	chiquan,cq
吃人	chiren,cr
吃人不吐骨头	chirenbutugutou,crbtgt
吃人家嘴软	chirenjiazuiruan,crjzr
吃人血馒头	chirenxuemantou,crxmt
吃肉不吐骨头	chiroubutugutou,crbtgt
吃软不吃硬	chiruanbuying,crby
吃软饭	chiruanfan,crf
吃商品粮	chishangpinliang,cspl
吃晌	chishang,cs
吃生活	chishenghuo,csh
吃生米	chishengmi,csm
吃虱留大腿	chishiliudatui,csldt
吃虱子留后腿	chishiziliuhoutui,cszlht
吃十方	chishifang,csf
吃食	chishi,cs
吃食讳食	chishihui,csh
吃食堂	chishitang,cst
吃屎都赶不上热乎的	chishidouganbushangrehude,csdgbsrhd
吃受	chishou,cs
吃水	chishui,cs
吃水不忘掘井人	chishuibuwangjuejingren,csbwjjr
吃水不忘挖井人	chishuibuwangwajingren,csbwwjr
吃顺不吃强	chishunbuqiang,csbq
吃死饭	chisifan,csf
吃死人不吐骨头	chisirenbutugutou,csrbtgt
吃四方饭	chisifangfan,csff
吃素	chisu,cs
吃太平饭	chitaipingfan,ctpf
吃铁石	chitieshi,cts
吃通	chitong,ct
吃透	chitou,ct
吃土	chitu,ct
吃瓦片	chiwapian,cwp
吃完	chiwan,cw
吃碗茶	chiwancha,cwc
吃味	chiwei,cw
吃味儿	chiweier,cwe
吃文	chiwen,cw
吃乌饭痾黑屎	chiwufankeheishi,cwfkhs
吃乌饭疴黑屎	chiwufankeheishi,cwfkhs
吃勿消	chiwuxiao,cwx
吃喜	chixi,cx
吃闲饭	chixianfan,cxf
吃现成	chixiancheng,cxc
吃现成饭	chixianchengfan,cxcf
吃相	chixiang,cx
吃香	chixiang,cx
吃香喝辣	chixianghela,cxhl
吃小灶	chixiaozao,cxz
吃笑	chixiao,cx
吃心	chixin,cx
吃辛吃苦	chixinku,cxk
吃熊心豹子胆	chixiongxinbaozidan,cxxbzd
吃虚	chixu,cx
吃血	chixue,cx
吃鸭蛋	chiyadan,cyd
吃哑巴亏	chiyabakui,cybk
吃眼前亏	chiyanqiankui,cyqk
吃洋饭	chiyangfan,cyf
吃药	chiyao,cy
吃一节	chiyijie,cyj
吃一看十	chiyikanshi,cyks
吃一箝二看三	chiyiqianerkansan,cyqeks
吃一堑	chiyiqian,cyq
吃衣饭	chiyifan,cyf
吃硬不吃软	chiyingburuan,cybr
吃用	chiyong,cy
吃油	chiyou,cy
吃语诗	chiyushi,cys
吃冤枉	chiyuanwang,cyw
吃儎	chizai,cz
吃斋	chizhai,cz
吃着不尽	chizhuobujin,czbj
吃着碟子看着碗	chizhuodiezikanzhewan,czdzkzw
吃着碗里看着锅里	chizhuowanlikanzheguo,czwlkzg
吃着碗里瞧着锅里	chizhewanliqiaoguo,czwlqg
吃重	chizhong,cz
吃住	chizhu,cz
吃准	chizhun,cz
吃租	chizu,cz
吃嘴	chizui,cz
吃罪	chizui,cz
吃罪不起	chizuibuqi,czbq
